request_id,ts,user_id,method,endpoint,http_status,latency_ms,partner_bank,idempotency_key,error_msg
REQ731650824791,2025-06-07 00:03:13.000,USR000220,POST,/cbs/penny-drop,200,516,CANB,IDM6858558705,
REQ297043498500,2025-06-07 00:53:12.000,USR000220,POST,/cbs/account/balance,401,168,CANB,IDM4270923172,UPSTREAM_TIMEOUT
REQ962029533870,2025-06-07 00:06:31.000,USR000220,POST,/cbs/customer/lookup,200,97,CANB,IDM2251537823,
REQ981925175762,2025-06-07 00:10:27.000,USR000220,POST,/cbs/kyc/ckyc-fetch,404,536,CANB,IDM3541407072,AML_FLAG
REQ559276068280,2025-08-25 01:14:00.000,USR000290,POST,/cbs/transaction/initiate,200,1193,BARB,IDM4761861484,
REQ156188009154,2025-08-25 01:20:26.000,USR000290,POST,/cbs/penny-drop,400,1266,BARB,IDM8990953120,PENNY_DROP_FAIL
REQ590459907670,2026-04-29 23:09:08.000,USR000765,POST,/cbs/fd/rate,400,120,RBL,IDM2819142505,BANK_DOWN
REQ263086637699,2026-04-29 22:12:41.000,USR000765,POST,/cbs/account/balance,200,150,RBL,IDM9667259769,
REQ240120521423,2026-04-29 23:35:49.000,USR000765,POST,/cbs/aml/screen,404,716,RBL,IDM7025604977,ACCT_NOT_FOUND
REQ357689863548,2026-04-29 22:18:18.000,USR000765,POST,/cbs/fd/booking,200,1166,RBL,IDM2241693406,
REQ578885862749,2026-04-29 23:51:51.000,USR000765,POST,/cbs/account/balance,200,144,RBL,IDM1984415395,
REQ246027230764,2026-04-29 22:53:48.000,USR000765,POST,/cbs/fd/booking,200,971,RBL,IDM1470600932,
REQ699236916319,2025-01-07 03:33:53.000,USR000343,POST,/cbs/fd/rate,200,75,YESB,IDM2416486404,
REQ658028617987,2025-01-07 02:47:41.000,USR000343,POST,/cbs/aml/screen,200,370,YESB,IDM2839404048,
REQ677443834054,2025-01-07 02:38:30.000,USR000343,POST,/cbs/transaction/initiate,401,1180,YESB,IDM5902725791,RATE_LIMITED
REQ339331796964,2025-01-07 02:15:25.000,USR000343,POST,/cbs/account/balance,200,213,YESB,IDM3111312804,
REQ940280680033,2025-01-07 02:21:33.000,USR000343,POST,/cbs/fd/rate,200,76,YESB,IDM7259612265,
REQ153568006306,2025-01-07 03:12:21.000,USR000343,POST,/cbs/penny-drop,200,589,YESB,IDM6664620034,
REQ429377561756,2025-01-07 02:45:49.000,USR000343,POST,/cbs/penny-drop,400,455,YESB,IDM7383569815,RATE_LIMITED
REQ322998853145,2025-01-07 02:15:24.000,USR000343,POST,/cbs/fd/rate,200,83,YESB,IDM3047892237,
REQ405446437007,2025-01-07 03:19:44.000,USR000343,POST,/cbs/fd/booking,200,992,YESB,IDM3896819596,
REQ709105073007,2025-01-07 03:04:27.000,USR000343,POST,/cbs/customer/lookup,401,155,YESB,IDM7721473947,INVALID_PAN
REQ925979757343,2026-02-03 03:53:49.000,USR000038,POST,/cbs/kyc/ckyc-fetch,200,210,BARB,IDM9535934569,
REQ350696103470,2026-02-03 02:19:05.000,USR000038,POST,/cbs/aml/screen,200,810,BARB,IDM3001612721,
REQ734316042214,2026-02-03 02:54:09.000,USR000038,POST,/cbs/transaction/initiate,200,462,BARB,IDM9048362410,
REQ723946974053,2026-02-03 02:42:39.000,USR000038,POST,/cbs/fd/rate,200,117,BARB,IDM9372418738,
REQ752439219419,2026-02-03 02:51:34.000,USR000038,POST,/cbs/account/balance,404,121,BARB,IDM5608994874,PENNY_DROP_FAIL
REQ164624271705,2026-02-03 03:59:30.000,USR000038,POST,/cbs/fd/rate,200,113,BARB,IDM3490185277,
REQ359303245713,2026-02-03 03:09:46.000,USR000038,POST,/cbs/fd/booking,200,604,BARB,IDM9004235542,
REQ359221177076,2025-12-23 18:18:38.000,USR000210,POST,/cbs/transaction/initiate,200,1183,AXIS,IDM7911671805,
REQ323667323881,2025-12-23 17:04:48.000,USR000210,POST,/cbs/customer/lookup,200,150,AXIS,IDM7417000027,
REQ344111462114,2025-07-17 02:58:30.000,USR000337,POST,/cbs/transaction/initiate,400,820,YESB,IDM9182500449,INVALID_PAN
REQ891695318145,2025-07-17 02:00:52.000,USR000337,POST,/cbs/fd/booking,200,519,YESB,IDM3776413137,
REQ429283179939,2025-07-17 02:40:13.000,USR000337,POST,/cbs/account/balance,404,219,YESB,IDM8631286231,ACCT_NOT_FOUND
REQ459442175842,2025-07-17 03:48:52.000,USR000337,POST,/cbs/penny-drop,200,452,YESB,IDM4368296366,
REQ934980909737,2025-07-17 02:01:45.000,USR000337,POST,/cbs/aml/screen,200,899,YESB,IDM1260694617,
REQ183258993146,2025-07-17 02:22:01.000,USR000337,POST,/cbs/aml/screen,200,729,YESB,IDM9666118978,
REQ209947762237,2025-07-17 03:45:15.000,USR000337,POST,/cbs/aml/screen,200,340,YESB,IDM7995353749,
REQ630261926955,2025-07-17 02:13:08.000,USR000337,POST,/cbs/fd/rate,200,116,YESB,IDM2125663333,
REQ733393597197,2025-07-17 02:42:32.000,USR000337,GET,/cbs/transaction/{id}/status,200,237,YESB,IDM7190835809,
REQ495641584307,2025-07-17 03:38:13.000,USR000337,POST,/cbs/fd/rate,400,69,YESB,IDM6542460431,PENNY_DROP_FAIL
REQ746998136350,2025-09-19 06:34:10.000,USR000954,POST,/cbs/penny-drop,200,839,AXIS,IDM3270838001,
REQ142956465699,2025-09-19 06:55:17.000,USR000954,GET,/cbs/transaction/{id}/status,200,216,AXIS,IDM7842371451,
REQ557621010009,2025-09-19 06:15:24.000,USR000954,POST,/cbs/penny-drop,401,615,AXIS,IDM6809264940,UPSTREAM_TIMEOUT
REQ313398304089,2025-05-16 22:45:41.000,USR000561,POST,/cbs/transaction/initiate,200,1092,AXIS,IDM9813200569,
REQ623256102177,2025-05-16 21:47:23.000,USR000561,POST,/cbs/transaction/initiate,200,599,AXIS,IDM3792685448,
REQ916474497868,2025-05-16 21:34:26.000,USR000561,POST,/cbs/kyc/ckyc-fetch,401,524,AXIS,IDM4435341692,AML_FLAG
REQ281080086150,2025-05-16 22:24:40.000,USR000561,POST,/cbs/customer/lookup,200,99,AXIS,IDM5388366868,
REQ570947270644,2025-05-16 21:57:22.000,USR000561,POST,/cbs/penny-drop,200,1222,AXIS,IDM3096427963,
REQ789738271849,2025-05-16 21:11:36.000,USR000561,GET,/cbs/transaction/{id}/status,200,141,AXIS,IDM9943741424,
REQ867369419768,2025-05-16 22:35:47.000,USR000561,POST,/cbs/customer/lookup,401,118,AXIS,IDM4967482043,ACCT_NOT_FOUND
REQ107246287990,2025-05-16 22:09:46.000,USR000561,POST,/cbs/kyc/ckyc-fetch,200,406,AXIS,IDM6053635553,
REQ158236197026,2025-05-16 22:44:35.000,USR000561,POST,/cbs/penny-drop,400,714,AXIS,IDM1991759136,RATE_LIMITED
REQ805729337244,2025-05-16 21:58:50.000,USR000561,POST,/cbs/account/balance,200,121,AXIS,IDM9955615759,
REQ478749669446,2025-06-11 12:28:12.000,USR000860,POST,/cbs/fd/booking,500,845,KOTK,IDM6141911540,BANK_DOWN
REQ456556805355,2025-06-11 11:30:23.000,USR000860,POST,/cbs/kyc/ckyc-fetch,200,743,KOTK,IDM3966167132,
REQ143158520916,2025-06-11 11:58:07.000,USR000860,POST,/cbs/fd/booking,200,1112,KOTK,IDM9884037800,
REQ624057192438,2025-06-11 11:25:17.000,USR000860,POST,/cbs/account/balance,200,218,KOTK,IDM4542257079,
REQ317435061668,2025-06-11 11:36:02.000,USR000860,POST,/cbs/fd/booking,200,420,KOTK,IDM7078720988,
REQ585467612995,2025-06-11 11:10:35.000,USR000860,POST,/cbs/fd/booking,200,1093,KOTK,IDM6466436287,
REQ874588835183,2025-06-11 12:39:03.000,USR000860,POST,/cbs/fd/booking,401,1179,KOTK,IDM1220026678,ACCT_NOT_FOUND
REQ226536199689,2025-06-11 12:38:49.000,USR000860,POST,/cbs/account/balance,200,97,KOTK,IDM9710746816,
REQ122861404138,2025-06-11 12:34:44.000,USR000860,POST,/cbs/aml/screen,200,426,KOTK,IDM2300437091,
REQ284581900831,2025-07-01 20:15:31.000,USR000708,POST,/cbs/aml/screen,400,361,PUNB,IDM2423791795,ACCT_NOT_FOUND
REQ719313314547,2025-07-01 20:05:41.000,USR000708,POST,/cbs/fd/booking,200,654,PUNB,IDM9826090788,
REQ746892825899,2025-07-01 20:59:55.000,USR000708,POST,/cbs/transaction/initiate,200,502,PUNB,IDM5701702547,
REQ201362593540,2025-07-01 20:14:41.000,USR000708,POST,/cbs/fd/rate,404,123,PUNB,IDM5430323410,RATE_LIMITED
REQ974033091328,2025-05-21 15:13:28.000,USR000799,POST,/cbs/account/balance,200,145,IDFC,IDM5293062004,
REQ718656243219,2025-05-21 14:08:47.000,USR000799,POST,/cbs/transaction/initiate,200,575,IDFC,IDM9458141139,
REQ997929153731,2025-05-21 15:21:24.000,USR000799,GET,/cbs/transaction/{id}/status,200,141,IDFC,IDM5978695992,
REQ776341412582,2026-02-02 06:58:26.000,USR000103,POST,/cbs/kyc/ckyc-fetch,200,389,IDFC,IDM4192423434,
REQ828993331063,2026-02-02 06:33:14.000,USR000103,POST,/cbs/aml/screen,200,487,IDFC,IDM8391941503,
REQ996611794996,2026-02-02 06:45:37.000,USR000103,POST,/cbs/transaction/initiate,200,595,IDFC,IDM6124955793,
REQ837151001355,2026-02-02 05:51:30.000,USR000103,POST,/cbs/kyc/ckyc-fetch,404,396,IDFC,IDM9330831205,ACCT_NOT_FOUND
REQ595425475582,2026-02-02 05:50:41.000,USR000103,GET,/cbs/transaction/{id}/status,200,98,IDFC,IDM3040789905,
REQ616945894494,2026-02-02 06:01:38.000,USR000103,POST,/cbs/transaction/initiate,200,273,IDFC,IDM9147520128,
REQ992712827461,2026-02-02 05:07:58.000,USR000103,POST,/cbs/fd/booking,200,1182,IDFC,IDM8343095396,
REQ122548094199,2026-03-13 04:04:31.000,USR000439,POST,/cbs/penny-drop,200,753,INDB,IDM3030531411,
REQ170869576193,2026-03-13 05:12:14.000,USR000439,POST,/cbs/aml/screen,200,539,INDB,IDM1090870317,
REQ571948826419,2026-03-13 05:16:39.000,USR000439,POST,/cbs/transaction/initiate,200,1133,INDB,IDM3598187816,
REQ445002985040,2025-05-01 19:03:41.000,USR000689,POST,/cbs/aml/screen,200,551,PUNB,IDM9850940401,
REQ427527844983,2025-05-01 18:13:35.000,USR000689,POST,/cbs/transaction/initiate,503,554,PUNB,IDM9274023200,BANK_DOWN
REQ947886943278,2025-05-02 11:23:50.000,USR000758,POST,/cbs/kyc/ckyc-fetch,200,372,CANB,IDM9133917071,
REQ685095850478,2025-05-02 12:52:34.000,USR000758,POST,/cbs/account/balance,200,213,CANB,IDM2001654452,
REQ473301338765,2025-05-02 11:43:33.000,USR000758,POST,/cbs/penny-drop,500,1023,CANB,IDM4873073990,ACCT_NOT_FOUND
REQ196438611970,2025-05-02 12:32:35.000,USR000758,POST,/cbs/fd/booking,200,723,CANB,IDM6111924167,
REQ553750961035,2025-05-02 12:52:55.000,USR000758,GET,/cbs/transaction/{id}/status,200,238,CANB,IDM8771964370,
REQ366788578192,2025-05-02 11:14:16.000,USR000758,POST,/cbs/customer/lookup,200,102,CANB,IDM7982008001,
REQ610179380841,2026-02-13 09:22:42.000,USR000827,POST,/cbs/account/balance,200,218,BARB,IDM4667363718,
REQ256645853019,2026-02-13 09:46:22.000,USR000827,POST,/cbs/customer/lookup,200,168,BARB,IDM8813295258,
REQ765942448042,2026-02-13 09:48:03.000,USR000827,GET,/cbs/transaction/{id}/status,200,156,BARB,IDM3754049892,
REQ399661836210,2026-02-13 08:03:33.000,USR000827,POST,/cbs/kyc/ckyc-fetch,200,391,BARB,IDM2695779854,
REQ994137415354,2026-02-13 09:17:26.000,USR000827,POST,/cbs/aml/screen,200,301,BARB,IDM7859382984,
REQ585441065819,2026-02-13 08:35:58.000,USR000827,POST,/cbs/fd/rate,200,118,BARB,IDM3830133880,
REQ396351642441,2026-02-13 08:23:41.000,USR000827,POST,/cbs/penny-drop,200,635,BARB,IDM4530939702,
REQ724910807798,2026-02-13 08:18:40.000,USR000827,POST,/cbs/kyc/ckyc-fetch,200,306,BARB,IDM8014140246,
REQ990021767576,2026-02-13 08:02:02.000,USR000827,POST,/cbs/fd/rate,200,64,BARB,IDM4610207898,
REQ234560082203,2026-02-13 08:21:53.000,USR000827,POST,/cbs/customer/lookup,200,109,BARB,IDM7131185091,
REQ148608311324,2025-09-08 03:46:02.000,USR000680,POST,/cbs/penny-drop,200,1481,AXIS,IDM1732602207,
REQ902178258866,2025-09-08 03:43:00.000,USR000680,POST,/cbs/account/balance,400,143,AXIS,IDM3098070004,AML_FLAG
REQ623216843918,2025-09-08 02:29:48.000,USR000680,POST,/cbs/aml/screen,200,687,AXIS,IDM5720552188,
REQ342729733561,2025-09-08 03:15:45.000,USR000680,POST,/cbs/customer/lookup,200,96,AXIS,IDM5934758784,
REQ134974259173,2025-09-08 02:11:11.000,USR000680,GET,/cbs/transaction/{id}/status,400,117,AXIS,IDM4860086981,RATE_LIMITED
REQ628487171913,2025-09-08 02:23:42.000,USR000680,POST,/cbs/fd/booking,500,664,AXIS,IDM8776591457,RATE_LIMITED
REQ965864414685,2025-09-08 03:09:02.000,USR000680,POST,/cbs/transaction/initiate,200,356,AXIS,IDM9541566372,
REQ613657879508,2025-09-08 02:03:43.000,USR000680,POST,/cbs/fd/booking,200,626,AXIS,IDM6345908620,
REQ880152239230,2025-09-08 03:37:58.000,USR000680,POST,/cbs/aml/screen,200,827,AXIS,IDM7798076664,
REQ800065311933,2025-01-17 02:01:06.000,USR000973,POST,/cbs/account/balance,200,168,RBL,IDM3395489556,
REQ179278879012,2025-01-17 02:31:09.000,USR000973,POST,/cbs/transaction/initiate,200,774,RBL,IDM9842399805,
REQ223348004702,2025-01-17 02:58:04.000,USR000973,POST,/cbs/fd/rate,200,148,RBL,IDM7053773327,
REQ981498855759,2025-01-17 03:46:51.000,USR000973,GET,/cbs/transaction/{id}/status,200,209,RBL,IDM5387260845,
REQ163088395078,2025-01-19 09:46:36.000,USR000372,POST,/cbs/account/balance,500,113,BARB,IDM9126311814,RATE_LIMITED
REQ980969512957,2025-01-19 10:23:13.000,USR000372,GET,/cbs/transaction/{id}/status,200,147,BARB,IDM8172927118,
REQ959243858373,2025-01-19 09:57:13.000,USR000372,GET,/cbs/transaction/{id}/status,400,120,BARB,IDM6142026497,PENNY_DROP_FAIL
REQ467313912926,2025-08-08 16:10:40.000,USR000943,POST,/cbs/fd/rate,200,95,RBL,IDM8949283794,
REQ637335869592,2025-08-08 16:01:48.000,USR000943,POST,/cbs/account/balance,200,94,RBL,IDM7170627030,
REQ314072891810,2025-08-08 15:00:09.000,USR000943,POST,/cbs/fd/rate,200,100,RBL,IDM3179921377,
REQ165118235103,2025-08-08 15:27:34.000,USR000943,GET,/cbs/transaction/{id}/status,200,188,RBL,IDM5335943130,
REQ354648035931,2025-08-08 15:53:38.000,USR000943,POST,/cbs/fd/rate,200,130,RBL,IDM2910914306,
REQ756324448939,2025-08-08 15:53:45.000,USR000943,POST,/cbs/account/balance,200,111,RBL,IDM3513039870,
REQ200534363513,2025-08-24 11:00:46.000,USR000317,POST,/cbs/fd/booking,200,386,INDB,IDM6235981161,
REQ148883484644,2025-08-24 11:32:59.000,USR000317,GET,/cbs/transaction/{id}/status,200,206,INDB,IDM1415140231,
REQ572114369881,2025-08-24 11:12:49.000,USR000317,POST,/cbs/account/balance,200,85,INDB,IDM5860327143,
REQ447522873946,2025-08-24 10:16:51.000,USR000317,POST,/cbs/aml/screen,200,502,INDB,IDM8535292849,
REQ466749491403,2025-08-24 11:45:25.000,USR000317,POST,/cbs/account/balance,500,219,INDB,IDM1577473492,AML_FLAG
REQ385744668594,2025-08-24 10:54:57.000,USR000317,POST,/cbs/transaction/initiate,200,369,INDB,IDM7052471914,
REQ377204640198,2025-08-24 10:50:00.000,USR000317,POST,/cbs/kyc/ckyc-fetch,401,565,INDB,IDM5434565576,BANK_DOWN
REQ741097005595,2025-08-24 11:00:26.000,USR000317,POST,/cbs/account/balance,200,95,INDB,IDM9338089114,
REQ272115129455,2025-08-24 10:56:40.000,USR000317,POST,/cbs/fd/rate,200,114,INDB,IDM4536523176,
REQ593279188917,2025-08-24 11:39:31.000,USR000317,POST,/cbs/fd/booking,200,556,INDB,IDM9124910329,
REQ837955488241,2025-10-05 18:41:21.000,USR000626,POST,/cbs/aml/screen,400,785,IDFC,IDM1584873767,PENNY_DROP_FAIL
REQ370939498710,2025-10-05 18:24:49.000,USR000626,POST,/cbs/fd/rate,200,68,IDFC,IDM4940749131,
REQ732046649739,2025-10-05 18:08:30.000,USR000626,POST,/cbs/customer/lookup,400,116,IDFC,IDM7232838442,INVALID_PAN
REQ184366526276,2026-04-11 22:11:31.000,USR000739,POST,/cbs/customer/lookup,400,158,CANB,IDM2571731627,AML_FLAG
REQ416067999799,2026-04-11 23:10:55.000,USR000739,POST,/cbs/fd/rate,200,84,CANB,IDM5899546522,
REQ423321458708,2026-04-11 23:05:43.000,USR000739,GET,/cbs/transaction/{id}/status,200,132,CANB,IDM3106044657,
REQ503121620302,2026-04-11 22:15:37.000,USR000739,POST,/cbs/fd/booking,200,546,CANB,IDM6381785149,
REQ201118370267,2026-01-09 11:39:49.000,USR000908,POST,/cbs/kyc/ckyc-fetch,200,243,CANB,IDM7348633107,
REQ397583839833,2026-01-09 11:20:00.000,USR000908,POST,/cbs/account/balance,200,204,CANB,IDM2331324699,
REQ397098335193,2026-01-09 10:29:07.000,USR000908,GET,/cbs/transaction/{id}/status,200,128,CANB,IDM3117546719,
REQ898734675667,2026-01-09 11:33:04.000,USR000908,POST,/cbs/customer/lookup,200,134,CANB,IDM8344277170,
REQ521285560911,2025-05-19 14:31:41.000,USR000554,POST,/cbs/fd/booking,200,300,CANB,IDM3386182419,
REQ397131288487,2025-05-19 15:16:33.000,USR000554,GET,/cbs/transaction/{id}/status,200,91,CANB,IDM1605663959,
REQ316122415206,2025-05-19 15:34:41.000,USR000554,POST,/cbs/transaction/initiate,200,903,CANB,IDM9504022014,
REQ228597235184,2025-05-19 14:41:03.000,USR000554,POST,/cbs/customer/lookup,200,141,CANB,IDM8367197078,
REQ848593659360,2025-05-19 15:52:47.000,USR000554,GET,/cbs/transaction/{id}/status,200,126,CANB,IDM4309809481,
REQ895566778019,2025-05-19 15:54:50.000,USR000554,POST,/cbs/account/balance,200,215,CANB,IDM6452922591,
REQ925093594211,2025-05-19 14:57:43.000,USR000554,POST,/cbs/transaction/initiate,200,296,CANB,IDM8703026994,
REQ859180899316,2025-05-19 14:04:01.000,USR000554,POST,/cbs/transaction/initiate,200,494,CANB,IDM2702179171,
REQ286570067416,2025-05-19 15:33:30.000,USR000554,POST,/cbs/transaction/initiate,200,1119,CANB,IDM9892709082,
REQ372299445663,2026-04-23 04:08:52.000,USR000643,GET,/cbs/transaction/{id}/status,200,112,IDFC,IDM2317336125,
REQ778552625286,2026-04-23 05:23:32.000,USR000643,POST,/cbs/aml/screen,200,588,IDFC,IDM5775523824,
REQ177343177723,2026-04-23 04:08:22.000,USR000643,POST,/cbs/aml/screen,400,474,IDFC,IDM7246141464,RATE_LIMITED
REQ595319529849,2026-04-23 04:32:31.000,USR000643,POST,/cbs/customer/lookup,200,132,IDFC,IDM3354487670,
REQ636621834219,2026-04-23 05:04:25.000,USR000643,POST,/cbs/penny-drop,200,591,IDFC,IDM1102648326,
REQ643402970630,2026-04-23 05:59:56.000,USR000643,POST,/cbs/aml/screen,200,545,IDFC,IDM3314262026,
REQ365530146343,2026-04-23 04:21:03.000,USR000643,POST,/cbs/fd/booking,200,858,IDFC,IDM4869614931,
REQ345895579437,2025-08-10 15:07:42.000,USR000933,POST,/cbs/penny-drop,200,492,INDB,IDM4237354276,
REQ377584607729,2025-08-10 15:39:16.000,USR000933,POST,/cbs/kyc/ckyc-fetch,200,368,INDB,IDM1910410356,
REQ902974816757,2025-08-10 14:05:40.000,USR000933,POST,/cbs/fd/rate,200,144,INDB,IDM6209592616,
REQ401847043102,2025-08-10 15:20:57.000,USR000933,POST,/cbs/kyc/ckyc-fetch,503,685,INDB,IDM4887335274,RATE_LIMITED
REQ567733996676,2025-08-10 14:21:29.000,USR000933,POST,/cbs/transaction/initiate,401,426,INDB,IDM3056689858,ACCT_NOT_FOUND
REQ360904773333,2025-08-10 14:41:37.000,USR000933,POST,/cbs/fd/rate,200,142,INDB,IDM2626813138,
REQ462690666052,2025-08-10 15:29:55.000,USR000933,POST,/cbs/fd/rate,200,83,INDB,IDM2612636056,
REQ334194560849,2025-08-10 14:48:20.000,USR000933,POST,/cbs/transaction/initiate,401,916,INDB,IDM4895967387,AML_FLAG
REQ657508742276,2025-08-10 15:50:58.000,USR000933,POST,/cbs/transaction/initiate,200,474,INDB,IDM3986741681,
REQ258644357318,2025-08-10 15:18:25.000,USR000933,GET,/cbs/transaction/{id}/status,200,101,INDB,IDM3832651563,
REQ990588106673,2026-04-22 14:30:55.000,USR000653,POST,/cbs/fd/booking,200,863,HDFC,IDM7882666645,
