user_id,invited,session_started,session_completed,rejected,drop_reason,queue_wait_seconds,session_duration_seconds,agent_id,language_used,device_os,attempt_no,ts
USR000668,True,True,True,False,,402,331,AG193,hi,Android,2,2026-01-14 17:00:00
USR000345,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,Android,1,2025-09-20 17:00:00
USR000219,True,True,True,False,,167,400,AG650,mr,Android,1,2025-03-14 07:00:00
USR000084,True,True,True,False,,48,426,AG666,bn,iOS,1,2025-08-31 03:00:00
USR000252,True,True,True,False,,96,530,AG232,en,Android,1,2025-03-11 21:00:00
USR000936,True,True,True,False,,224,204,AG707,kn,Web-Desktop,1,2025-01-08 07:00:00
USR000820,True,True,True,False,,328,128,AG497,ta,iOS,2,2025-09-07 20:00:00
USR000513,True,True,True,False,,178,661,AG136,en,Android,1,2026-05-11 21:00:00
USR000801,True,True,False,False,APP_CRASHED,150,432,AG172,en,Android,1,2025-09-30 01:00:00
USR000428,True,True,True,False,,383,366,AG124,te,Web-Desktop,3,2025-10-03 20:00:00
USR000492,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,1,2026-01-22 09:00:00
USR000533,True,True,False,True,LANGUAGE_BARRIER,251,643,AG631,en,Android,1,2025-12-26 12:00:00
USR000130,True,True,True,False,,156,215,AG580,hi,Android,1,2025-08-23 17:00:00
USR000205,True,True,True,False,,99,202,AG717,hi,iOS,1,2025-05-31 19:00:00
USR000438,True,True,True,False,,48,662,AG179,hi,Android,1,2026-04-03 07:00:00
USR000183,True,True,True,False,,417,388,AG904,hi,Web-Mobile,1,2025-09-14 10:00:00
USR000990,True,True,True,False,,339,661,AG673,bn,Android,1,2025-07-07 20:00:00
USR000507,True,True,True,False,,44,433,AG143,en,iOS,1,2025-11-19 10:00:00
USR000767,True,True,False,True,PAN_BLUR,211,207,AG114,ta,Android,1,2026-01-25 18:00:00
USR000661,True,True,False,False,APP_CRASHED,160,421,AG564,kn,Android,1,2025-11-20 05:00:00
USR000984,True,True,True,False,,372,675,AG425,en,Android,3,2025-07-11 03:00:00
USR000279,True,True,False,False,USER_DROPPED,310,295,AG200,hi,Android,2,2025-02-08 11:00:00
USR000745,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,en,iOS,1,2025-01-23 08:00:00
USR000152,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,bn,Android,1,2025-10-24 16:00:00
USR000649,True,True,False,False,AGENT_BUSY_QUEUE,328,336,AG742,hi,Android,1,2025-02-28 08:00:00
USR000208,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,hi,Web-Mobile,1,2025-03-09 23:00:00
USR000841,True,True,True,False,,258,342,AG110,kn,Android,1,2026-03-25 22:00:00
USR000488,True,True,True,False,,38,421,AG787,en,Android,2,2025-12-14 10:00:00
USR000678,True,True,True,False,,184,541,AG584,en,Android,1,2026-02-24 22:00:00
USR000304,True,False,False,False,BANDWIDTH_LOW,0,0,,bn,iOS,2,2025-03-19 20:00:00
USR000041,True,False,False,False,BANDWIDTH_LOW,0,0,,en,iOS,1,2025-10-05 16:00:00
USR000321,True,True,True,False,,407,173,AG377,en,Web-Desktop,1,2025-12-09 03:00:00
USR000646,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,te,Android,1,2025-08-17 09:00:00
USR000093,True,True,True,False,,235,528,AG354,hi,Web-Desktop,1,2026-03-28 02:00:00
USR000985,True,True,True,False,,409,606,AG298,mr,Android,1,2026-02-15 08:00:00
USR000723,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,1,2026-02-24 21:00:00
USR000074,True,True,True,False,,272,327,AG480,hi,Android,1,2025-10-10 07:00:00
USR000806,True,True,True,False,,189,325,AG223,hi,Android,2,2026-04-20 22:00:00
USR000450,True,True,True,False,,389,503,AG734,en,iOS,1,2025-04-28 05:00:00
USR000371,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,1,2025-11-22 01:00:00
USR000493,True,False,False,False,BANDWIDTH_LOW,0,0,,hi,Web-Desktop,1,2026-01-11 00:00:00
USR000669,True,True,True,False,,372,431,AG846,hi,iOS,1,2025-01-09 15:00:00
USR000873,True,True,False,False,USER_DROPPED,55,324,AG355,en,iOS,1,2026-02-22 03:00:00
USR000239,True,True,True,False,,99,525,AG242,en,iOS,1,2025-04-27 05:00:00
USR000161,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,Android,1,2026-03-07 00:00:00
USR000150,True,True,True,False,,251,415,AG986,en,Android,2,2025-04-03 19:00:00
USR000568,True,True,True,False,,129,510,AG363,hi,Android,1,2025-01-24 15:00:00
USR000198,True,True,False,False,APP_CRASHED,333,409,AG867,hi,Web-Desktop,1,2025-06-25 13:00:00
USR000444,True,True,False,False,USER_DROPPED,98,436,AG749,en,Web-Desktop,1,2025-11-07 07:00:00
USR000113,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,iOS,1,2026-03-21 14:00:00
USR000203,True,True,True,False,,40,286,AG860,mr,Android,1,2025-12-09 09:00:00
USR000534,True,False,False,False,BANDWIDTH_LOW,0,0,,hi,Android,2,2025-02-04 11:00:00
USR000898,True,True,True,False,,218,701,AG133,en,Android,1,2025-01-31 15:00:00
USR000316,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,te,Android,1,2026-03-29 17:00:00
USR000187,True,True,False,False,USER_DROPPED,235,630,AG567,bn,Android,1,2026-02-07 02:00:00
USR000017,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,bn,iOS,1,2025-02-21 13:00:00
USR000696,True,True,False,True,CONSENT_NOT_GIVEN,61,298,AG793,bn,Android,1,2025-11-22 07:00:00
USR000799,True,True,True,False,,299,205,AG137,kn,Web-Desktop,1,2025-05-25 11:00:00
USR000055,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,1,2026-04-13 09:00:00
USR000135,True,True,True,False,,188,413,AG558,mr,Android,1,2025-03-24 01:00:00
USR000560,True,True,True,False,,355,359,AG492,hi,Web-Desktop,1,2026-03-28 03:00:00
USR000495,True,True,True,False,,372,707,AG968,ta,Android,1,2025-02-11 01:00:00
USR000673,True,True,False,False,APP_CRASHED,277,500,AG560,en,Android,1,2026-02-24 05:00:00
USR000249,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,en,Android,1,2025-09-14 21:00:00
USR000704,True,False,False,False,BANDWIDTH_LOW,0,0,,bn,Android,1,2025-12-15 14:00:00
USR000976,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,Web-Desktop,2,2025-06-22 18:00:00
USR000740,True,True,True,False,,36,700,AG258,kn,Android,1,2025-06-11 01:00:00
USR000006,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,en,iOS,1,2025-10-09 22:00:00
USR000922,True,True,True,False,,332,647,AG933,en,Android,1,2025-04-20 19:00:00
USR000419,True,True,True,False,,111,612,AG410,kn,Web-Mobile,1,2025-09-27 02:00:00
USR000185,True,True,False,False,APP_CRASHED,339,157,AG471,hi,Web-Mobile,1,2025-08-20 06:00:00
USR000496,True,True,True,False,,125,701,AG345,hi,Android,1,2025-11-07 08:00:00
USR000643,True,True,True,False,,372,527,AG146,en,iOS,1,2026-04-25 05:00:00
USR000344,True,True,True,False,,190,168,AG498,en,Android,1,2025-09-04 23:00:00
USR000400,True,True,False,False,APP_CRASHED,320,165,AG152,bn,Android,1,2025-09-27 00:00:00
USR000159,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,1,2025-10-23 08:00:00
USR000593,True,True,True,False,,377,173,AG388,bn,iOS,1,2025-08-10 08:00:00
USR000354,True,True,False,True,OTP_FAIL,71,277,AG332,te,Android,1,2025-06-06 19:00:00
USR000155,True,True,True,False,,328,318,AG333,en,Web-Desktop,2,2025-08-23 13:00:00
USR000132,True,True,False,False,APP_CRASHED,204,672,AG265,en,Android,1,2025-02-16 23:00:00
USR000748,True,True,True,False,,129,627,AG910,en,iOS,1,2025-11-22 09:00:00
USR000856,True,True,True,False,,126,406,AG437,hi,iOS,1,2025-12-06 11:00:00
USR000763,True,True,True,False,,310,404,AG499,hi,Web-Desktop,2,2025-04-28 03:00:00
USR000302,True,True,True,False,,72,366,AG731,en,Web-Desktop,1,2025-08-29 09:00:00
USR000935,True,True,False,False,APP_CRASHED,152,336,AG300,hi,Android,1,2025-09-26 20:00:00
USR000612,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,3,2025-01-25 20:00:00
USR000228,True,True,True,False,,395,121,AG718,mr,Web-Mobile,1,2025-12-11 22:00:00
USR000149,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,Android,2,2026-03-09 14:00:00
USR000440,True,True,False,False,APP_CRASHED,243,670,AG647,bn,Android,1,2025-08-31 06:00:00
USR000471,True,True,True,False,,18,681,AG150,ta,Android,1,2025-02-24 15:00:00
USR000265,True,True,True,False,,253,275,AG525,mr,Android,1,2025-08-22 13:00:00
USR000722,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,Web-Desktop,1,2026-01-09 19:00:00
USR000339,True,True,True,False,,313,525,AG428,en,Web-Desktop,1,2026-02-23 05:00:00
USR000819,True,True,True,False,,57,122,AG539,hi,Android,1,2026-04-30 23:00:00
USR000157,True,True,True,False,,337,569,AG351,hi,Web-Mobile,1,2025-08-02 20:00:00
USR000705,True,True,True,False,,197,698,AG708,hi,Android,3,2025-03-02 13:00:00
USR000053,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,iOS,1,2026-04-26 05:00:00
USR000532,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,1,2025-04-29 17:00:00
USR000137,True,True,False,True,FACE_MISMATCH,401,129,AG774,te,Web-Mobile,1,2026-02-16 23:00:00
USR000434,True,True,True,False,,196,267,AG936,en,Web-Mobile,1,2025-07-07 05:00:00
USR000694,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,iOS,1,2025-05-02 02:00:00
USR000830,True,True,False,True,LANGUAGE_BARRIER,329,649,AG169,kn,Android,1,2026-03-02 04:00:00
USR000027,True,True,True,False,,217,310,AG375,hi,Android,1,2025-11-29 10:00:00
USR000876,True,True,True,False,,117,459,AG545,en,Android,1,2025-04-20 18:00:00
USR000357,True,True,False,False,APP_CRASHED,308,460,AG869,ml,Android,1,2025-04-07 16:00:00
USR000609,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,Android,1,2025-03-21 12:00:00
USR000527,True,True,True,False,,19,467,AG792,mr,Android,1,2025-01-04 08:00:00
USR000765,True,True,True,False,,30,432,AG521,en,Android,1,2026-05-04 16:00:00
USR000109,True,True,True,False,,60,430,AG426,bn,Web-Mobile,1,2026-02-28 00:00:00
USR000457,True,False,False,False,NEVER_OPENED_LINK,0,0,,te,Android,1,2025-04-05 18:00:00
USR000779,True,True,True,False,,411,558,AG116,en,Android,1,2025-10-17 00:00:00
USR000906,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,Android,2,2025-07-02 02:00:00
USR000224,True,True,True,False,,350,486,AG302,bn,Web-Desktop,1,2025-04-03 06:00:00
USR000981,True,True,True,False,,104,720,AG871,hi,Android,1,2025-02-28 22:00:00
USR000785,True,True,True,False,,175,576,AG275,hi,Android,2,2026-02-15 13:00:00
USR000101,True,True,True,False,,312,573,AG745,en,Web-Desktop,1,2025-08-16 23:00:00
USR000448,True,True,True,False,,75,313,AG667,hi,Android,1,2025-10-29 11:00:00
USR000845,True,False,False,False,BANDWIDTH_LOW,0,0,,hi,Android,1,2025-03-10 01:00:00
USR000082,True,True,False,False,USER_DROPPED,22,687,AG855,en,Android,1,2025-08-20 10:00:00
USR000729,True,True,False,False,AGENT_BUSY_QUEUE,40,277,AG645,ta,Android,2,2025-08-03 03:00:00
USR000131,True,True,False,False,USER_DROPPED,261,456,AG490,gu,iOS,3,2025-03-10 02:00:00
USR000295,True,True,True,False,,338,676,AG843,ta,iOS,1,2025-07-21 01:00:00
USR000881,True,True,True,False,,252,510,AG670,hi,Android,1,2025-09-27 11:00:00
USR000015,True,False,False,False,BANDWIDTH_LOW,0,0,,ta,Web-Desktop,1,2025-10-22 01:00:00
USR000837,True,True,True,False,,206,265,AG126,kn,Web-Mobile,2,2026-03-24 08:00:00
USR000195,True,True,False,True,OTP_FAIL,284,539,AG129,en,Android,1,2025-12-20 16:00:00
USR000933,True,True,True,False,,228,387,AG187,en,Web-Desktop,1,2025-08-10 14:00:00
USR000056,True,True,False,False,USER_DROPPED,317,291,AG999,hi,Android,3,2025-12-07 05:00:00
USR000202,True,True,True,False,,209,692,AG900,hi,Android,1,2025-11-12 11:00:00
USR000430,True,True,True,False,,160,444,AG131,en,Web-Mobile,1,2026-04-23 00:00:00
USR000009,True,True,True,False,,149,708,AG884,en,Android,1,2026-04-21 20:00:00
USR000553,True,True,True,False,,362,469,AG200,te,iOS,1,2025-05-06 23:00:00
USR000145,True,True,True,False,,41,265,AG181,kn,Web-Mobile,1,2025-11-23 17:00:00
USR000482,True,False,False,False,NEVER_OPENED_LINK,0,0,,gu,iOS,1,2025-05-02 10:00:00
USR000530,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Web-Mobile,3,2025-12-25 21:00:00
USR000114,True,True,False,False,AGENT_BUSY_QUEUE,150,208,AG474,kn,Android,1,2026-01-14 19:00:00
USR000359,True,True,True,False,,230,611,AG752,hi,Android,1,2025-01-22 22:00:00
USR000728,True,True,True,False,,170,647,AG460,hi,iOS,1,2026-04-24 04:00:00
USR000455,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,Web-Mobile,1,2025-11-21 01:00:00
USR000732,True,True,False,False,APP_CRASHED,298,507,AG190,te,Android,1,2025-08-08 18:00:00
USR000367,True,False,False,False,BANDWIDTH_LOW,0,0,,ta,Web-Desktop,1,2025-03-03 10:00:00
USR000715,True,False,False,False,BANDWIDTH_LOW,0,0,,kn,Web-Mobile,1,2025-10-18 17:00:00
USR000537,True,True,False,False,USER_DROPPED,380,377,AG392,en,iOS,1,2025-05-01 21:00:00
USR000284,True,True,False,False,APP_CRASHED,279,235,AG964,en,Web-Mobile,2,2025-08-08 08:00:00
USR000598,True,True,True,False,,335,521,AG565,hi,Web-Desktop,1,2025-05-18 09:00:00
USR000927,True,True,True,False,,28,659,AG527,ta,Android,1,2025-12-21 06:00:00
USR000913,True,True,True,False,,312,156,AG323,ta,Web-Mobile,1,2025-11-28 03:00:00
USR000366,True,True,True,False,,357,460,AG761,hi,Android,3,2025-11-13 01:00:00
USR000735,True,True,True,False,,121,536,AG983,en,Android,1,2025-05-11 08:00:00
USR000364,True,False,False,False,NEVER_OPENED_LINK,0,0,,mr,Android,1,2025-07-01 23:00:00
USR000648,True,True,False,True,PAN_BLUR,146,276,AG382,en,Android,1,2026-03-08 15:00:00
USR000164,True,True,True,False,,113,208,AG476,gu,Web-Desktop,1,2026-02-16 00:00:00
USR000535,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,hi,Android,1,2025-06-05 01:00:00
USR000071,True,True,True,False,,251,173,AG285,en,Android,1,2025-02-06 20:00:00
USR000046,True,True,True,False,,43,716,AG640,hi,Android,1,2025-11-17 14:00:00
USR000674,True,True,False,True,LANGUAGE_BARRIER,40,494,AG802,hi,Web-Mobile,1,2025-07-20 16:00:00
USR000828,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,mr,Android,1,2025-10-26 16:00:00
USR000803,True,True,True,False,,85,705,AG350,en,Web-Mobile,1,2025-09-08 19:00:00
USR000216,True,True,True,False,,129,577,AG905,en,iOS,1,2025-06-05 17:00:00
USR000112,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,Android,1,2025-07-01 20:00:00
USR000630,True,True,False,False,APP_CRASHED,342,379,AG637,mr,iOS,1,2025-07-05 04:00:00
USR000619,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,mr,Web-Desktop,2,2025-12-12 07:00:00
USR000672,True,True,True,False,,163,145,AG600,hi,iOS,1,2025-04-15 11:00:00
USR000982,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,1,2025-11-25 12:00:00
USR000525,True,True,True,False,,70,635,AG983,mr,Android,3,2025-02-20 04:00:00
USR000591,True,False,False,False,BANDWIDTH_LOW,0,0,,en,Android,2,2025-11-30 07:00:00
USR000412,True,True,True,False,,323,625,AG113,mr,Android,1,2025-09-30 16:00:00
USR000784,True,True,False,False,AGENT_BUSY_QUEUE,166,704,AG399,bn,Web-Desktop,1,2026-01-22 20:00:00
USR000373,True,True,False,True,OTP_FAIL,143,407,AG769,ml,Web-Mobile,1,2025-06-11 02:00:00
USR000381,True,False,False,False,NEVER_OPENED_LINK,0,0,,mr,Android,1,2025-05-19 07:00:00
USR000191,True,True,True,False,,206,175,AG156,kn,Android,2,2026-05-05 00:00:00
USR000237,True,True,True,False,,265,368,AG476,hi,Android,1,2026-02-03 01:00:00
USR000096,True,True,False,True,PAN_BLUR,86,716,AG900,en,Android,1,2025-07-22 00:00:00
USR000234,True,True,True,False,,313,628,AG637,kn,Web-Mobile,1,2025-08-01 08:00:00
USR000247,True,True,True,False,,29,593,AG216,en,Web-Desktop,1,2025-09-24 10:00:00
USR000340,True,True,True,False,,388,647,AG138,kn,Android,2,2026-01-11 07:00:00
USR000813,True,True,True,False,,83,608,AG633,gu,Web-Mobile,1,2026-04-05 07:00:00
USR000739,True,True,True,False,,70,425,AG623,en,Android,1,2026-04-16 00:00:00
USR000818,True,True,False,False,APP_CRASHED,232,629,AG172,hi,Web-Mobile,1,2026-04-15 05:00:00
USR000181,True,True,False,False,APP_CRASHED,296,307,AG181,ml,iOS,1,2025-08-12 02:00:00
USR000781,True,True,True,False,,292,425,AG934,mr,Android,1,2025-06-10 21:00:00
USR000520,True,True,True,False,,361,491,AG960,en,Web-Mobile,1,2025-12-05 02:00:00
USR000355,True,True,False,False,APP_CRASHED,243,484,AG921,hi,Web-Desktop,1,2026-03-19 20:00:00
USR000020,True,True,True,False,,81,700,AG440,hi,Android,1,2026-04-29 11:00:00
USR000240,True,True,True,False,,112,588,AG494,hi,Android,2,2025-06-08 03:00:00
USR000551,True,False,False,False,BANDWIDTH_LOW,0,0,,hi,Android,1,2025-06-22 00:00:00
USR000336,True,True,True,False,,371,643,AG120,te,iOS,1,2026-03-27 19:00:00
USR000647,True,False,False,False,NEVER_OPENED_LINK,0,0,,mr,iOS,1,2025-06-03 15:00:00
USR000010,True,True,True,False,,301,127,AG360,gu,Web-Mobile,2,2026-04-22 12:00:00
USR000288,True,False,False,False,BANDWIDTH_LOW,0,0,,mr,Web-Mobile,1,2025-09-16 07:00:00
USR000276,True,True,True,False,,313,523,AG925,hi,iOS,1,2026-01-12 12:00:00
USR000569,True,True,True,False,,147,199,AG910,en,Android,1,2026-01-05 22:00:00
USR000391,True,True,False,False,USER_DROPPED,222,340,AG278,bn,Android,1,2026-03-03 05:00:00
USR000836,True,True,True,False,,230,482,AG759,en,Web-Desktop,2,2025-12-14 01:00:00
USR000051,True,True,False,False,APP_CRASHED,146,314,AG620,ta,iOS,1,2025-11-11 19:00:00
USR000839,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,en,Android,1,2025-11-28 05:00:00
USR000049,True,True,False,False,APP_CRASHED,359,581,AG719,hi,Web-Desktop,1,2025-06-02 01:00:00
USR000081,True,True,True,False,,172,220,AG453,hi,iOS,2,2025-08-16 06:00:00
USR000416,True,True,True,False,,281,451,AG300,bn,Web-Desktop,1,2025-09-28 04:00:00
USR000919,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,hi,Android,1,2025-05-12 00:00:00
USR000211,True,True,True,False,,323,416,AG364,en,Android,2,2025-11-10 20:00:00
USR000924,True,True,True,False,,299,614,AG687,en,iOS,3,2025-03-09 14:00:00
USR000638,True,True,True,False,,211,185,AG204,mr,Web-Mobile,1,2025-12-16 04:00:00
USR000060,True,True,True,False,,60,313,AG927,hi,Web-Desktop,3,2025-01-07 03:00:00
USR000002,True,False,False,False,BANDWIDTH_LOW,0,0,,ta,Web-Mobile,1,2025-10-24 15:00:00
USR000050,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,Web-Desktop,1,2025-10-20 06:00:00
USR000319,True,True,False,False,AGENT_BUSY_QUEUE,28,493,AG524,ta,iOS,2,2025-07-23 18:00:00
USR000697,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,hi,Web-Desktop,1,2025-01-08 23:00:00
USR000169,True,True,True,False,,305,610,AG364,hi,iOS,2,2026-02-26 18:00:00
USR000107,True,True,False,False,APP_CRASHED,254,559,AG339,en,Android,1,2025-07-13 07:00:00
USR000787,True,True,False,True,POOR_LIGHTING,236,419,AG236,en,Android,1,2026-01-09 12:00:00
USR000601,True,True,False,True,PAN_BLUR,417,671,AG638,en,Web-Desktop,1,2025-02-10 10:00:00
USR000671,True,True,False,True,OTP_FAIL,378,413,AG676,bn,Web-Desktop,2,2025-07-04 05:00:00
USR000550,True,True,True,False,,339,382,AG129,en,Web-Mobile,1,2025-07-06 17:00:00
USR000875,True,True,True,False,,73,354,AG119,gu,Android,1,2026-03-01 19:00:00
USR000583,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,Web-Mobile,1,2025-12-22 05:00:00
USR000835,True,True,True,False,,393,379,AG846,te,Web-Desktop,2,2025-03-19 12:00:00
USR000842,True,True,False,True,CONSENT_NOT_GIVEN,232,590,AG597,hi,Android,1,2026-04-01 20:00:00
USR000397,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,bn,Web-Mobile,1,2025-11-09 10:00:00
USR000712,True,True,True,False,,63,225,AG593,en,Web-Mobile,1,2025-07-24 13:00:00
USR000917,True,True,True,False,,304,375,AG440,hi,Android,1,2025-09-15 04:00:00
USR000503,True,True,True,False,,366,638,AG872,en,Android,1,2025-05-02 05:00:00
USR000199,True,True,False,True,POOR_LIGHTING,109,394,AG617,en,Android,1,2026-04-05 08:00:00
USR000822,True,True,True,False,,219,198,AG793,en,Android,1,2025-02-16 13:00:00
USR000116,True,True,False,False,USER_DROPPED,122,584,AG850,en,Web-Desktop,1,2025-08-18 20:00:00
USR000188,True,False,False,False,BANDWIDTH_LOW,0,0,,mr,Web-Desktop,1,2025-03-04 03:00:00
USR000377,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,mr,iOS,1,2025-08-04 18:00:00
USR000769,True,True,True,False,,414,245,AG678,bn,Android,1,2025-09-21 22:00:00
