event_id,user_id,step,surface,device,language,ts,session_id,utm_source,page_load_ms,error_code
EVT00000045,USR000015,vkyc_invite,web,Web-Desktop,ta,2025-10-20 14:24:00,SES882082,Google Ads,,
EVT00000046,USR000015,vkyc_session,web,Web-Desktop,ta,2025-10-20 15:38:00,SES266742,Google Ads,,
EVT00000047,USR000015,vkyc_complete,web,Web-Desktop,ta,2025-10-20 16:55:00,SES503604,Google Ads,,
EVT00000048,USR000015,bank_link,web,Web-Desktop,ta,2025-10-20 18:58:00,SES353043,Google Ads,,
EVT00000049,USR000015,fd_amount_select,web,Web-Desktop,ta,2025-10-20 21:19:00,SES760516,Google Ads,,
EVT00000050,USR000015,fd_tenure_select,web,Web-Desktop,ta,2025-10-20 21:33:00,SES870820,Google Ads,,
EVT00000051,USR000015,fd_review,web,Web-Desktop,ta,2025-10-20 22:19:00,SES570341,Google Ads,,
EVT00000052,USR000015,fd_book_success,web,Web-Desktop,ta,2025-10-20 22:54:00,SES816999,Google Ads,,
EVT00000053,USR000018,landing,web,Web-Desktop,ml,2025-07-16 08:54:00,SES273792,Influencer-YT,2254,
EVT00000054,USR000018,rate_check,web,Web-Desktop,ml,2025-07-16 10:00:00,SES622047,Influencer-YT,,
EVT00000055,USR000018,register,web,Web-Desktop,ml,2025-07-16 11:39:00,SES746527,Influencer-YT,,USER_ABANDONED
EVT00000056,USR000020,landing,web,Android,hi,2026-04-30 12:04:00,SES924928,WhatsApp,2999,
EVT00000057,USR000020,rate_check,web,Android,hi,2026-04-30 12:19:00,SES288777,WhatsApp,,
EVT00000058,USR000020,register,web,Android,hi,2026-04-30 14:12:00,SES654810,WhatsApp,,
EVT00000059,USR000020,otp_verify,web,Android,hi,2026-04-30 15:27:00,SES750456,WhatsApp,,
EVT00000060,USR000020,kyc_pan,web,Android,hi,2026-04-30 16:59:00,SES433290,WhatsApp,,USER_ABANDONED
EVT00000061,USR000021,landing,web,Android,mr,2026-01-03 03:35:00,SES319179,Meta Ads,438,
EVT00000062,USR000021,rate_check,web,Android,mr,2026-01-03 03:43:00,SES219330,Meta Ads,,
EVT00000063,USR000021,register,web,Android,mr,2026-01-03 05:54:00,SES416819,Meta Ads,,
EVT00000064,USR000021,otp_verify,web,Android,mr,2026-01-03 07:48:00,SES984310,Meta Ads,,
EVT00000065,USR000021,kyc_pan,web,Android,mr,2026-01-03 08:12:00,SES952085,Meta Ads,,
EVT00000066,USR000021,kyc_address,web,Android,mr,2026-01-03 08:27:00,SES828137,Meta Ads,,USER_ABANDONED
EVT00000067,USR000022,landing,web,Android,en,2025-12-08 08:55:00,SES575156,Direct,1052,
EVT00000068,USR000022,rate_check,web,Android,en,2025-12-08 11:28:00,SES604442,Direct,,
EVT00000069,USR000022,register,web,Android,en,2025-12-08 14:17:00,SES146440,Direct,,USER_ABANDONED
EVT00000070,USR000023,landing,web,Android,kn,2025-02-20 14:50:00,SES403483,Google Ads,2497,
EVT00000071,USR000023,rate_check,web,Android,kn,2025-02-20 15:31:00,SES180477,Google Ads,,
EVT00000072,USR000023,register,web,Android,kn,2025-02-20 17:53:00,SES746531,Google Ads,,
EVT00000073,USR000023,otp_verify,web,Android,kn,2025-02-20 18:34:00,SES861239,Google Ads,,
EVT00000074,USR000023,kyc_pan,web,Android,kn,2025-02-20 19:41:00,SES116305,Google Ads,,
EVT00000075,USR000023,kyc_address,web,Android,kn,2025-02-20 21:28:00,SES181102,Google Ads,,
EVT00000076,USR000023,vkyc_invite,web,Android,kn,2025-02-20 23:06:00,SES450894,Google Ads,,
EVT00000077,USR000023,vkyc_session,web,Android,kn,2025-02-21 02:04:00,SES722394,Google Ads,,
EVT00000078,USR000023,vkyc_complete,web,Android,kn,2025-02-21 03:48:00,SES155577,Google Ads,,
EVT00000079,USR000023,bank_link,web,Android,kn,2025-02-21 06:35:00,SES428301,Google Ads,,
EVT00000080,USR000023,fd_amount_select,web,Android,kn,2025-02-21 07:45:00,SES361673,Google Ads,,
EVT00000081,USR000023,fd_tenure_select,web,Android,kn,2025-02-21 07:56:00,SES975078,Google Ads,,
EVT00000082,USR000023,fd_review,web,Android,kn,2025-02-21 09:57:00,SES187514,Google Ads,,
EVT00000083,USR000023,fd_book_success,web,Android,kn,2025-02-21 12:20:00,SES845768,Google Ads,,
EVT00000084,USR000024,landing,web,iOS,en,2025-08-23 15:27:00,SES155146,Direct,519,
EVT00000085,USR000024,rate_check,web,iOS,en,2025-08-23 16:30:00,SES173455,Direct,,
EVT00000086,USR000024,register,web,iOS,en,2025-08-23 18:57:00,SES443909,Direct,,
EVT00000087,USR000024,otp_verify,web,iOS,en,2025-08-23 21:38:00,SES526187,Direct,,
EVT00000088,USR000024,kyc_pan,web,iOS,en,2025-08-23 22:17:00,SES605328,Direct,,
EVT00000089,USR000024,kyc_address,web,iOS,en,2025-08-23 23:06:00,SES937641,Direct,,
EVT00000090,USR000024,vkyc_invite,web,iOS,en,2025-08-24 00:17:00,SES935391,Direct,,
EVT00000091,USR000024,vkyc_session,web,iOS,en,2025-08-24 02:24:00,SES608281,Direct,,
EVT00000092,USR000024,vkyc_complete,web,iOS,en,2025-08-24 04:11:00,SES152098,Direct,,
EVT00000093,USR000024,bank_link,web,iOS,en,2025-08-24 05:17:00,SES626830,Direct,,
EVT00000094,USR000024,fd_amount_select,web,iOS,en,2025-08-24 06:43:00,SES494289,Direct,,
EVT00000095,USR000024,fd_tenure_select,web,iOS,en,2025-08-24 08:44:00,SES466936,Direct,,USER_ABANDONED
EVT00000096,USR000026,landing,web,Android,hi,2025-04-30 02:20:00,SES695090,Referral,2224,
EVT00000097,USR000026,rate_check,web,Android,hi,2025-04-30 03:45:00,SES471322,Referral,,
EVT00000098,USR000026,register,web,Android,hi,2025-04-30 03:56:00,SES683698,Referral,,
EVT00000099,USR000026,otp_verify,web,Android,hi,2025-04-30 06:02:00,SES873866,Referral,,
EVT00000100,USR000026,kyc_pan,web,Android,hi,2025-04-30 07:26:00,SES148903,Referral,,
EVT00000101,USR000026,kyc_address,web,Android,hi,2025-04-30 08:41:00,SES195848,Referral,,
EVT00000102,USR000026,vkyc_invite,web,Android,hi,2025-04-30 09:53:00,SES882866,Referral,,VALIDATION_FAIL
EVT00000103,USR000028,landing,web,iOS,hi,2025-01-10 08:17:00,SES530944,Influencer-YT,3152,
EVT00000104,USR000028,rate_check,web,iOS,hi,2025-01-10 10:27:00,SES222052,Influencer-YT,,DOC_REJECTED
EVT00000105,USR000029,landing,web,Android,hi,2025-11-04 09:38:00,SES791499,Referral,2387,
EVT00000106,USR000029,rate_check,web,Android,hi,2025-11-04 12:26:00,SES111125,Referral,,RATE_NOT_COMPETITIVE
EVT00000107,USR000030,landing,web,Web-Desktop,en,2026-01-06 09:57:00,SES546626,Direct,1654,
EVT00000108,USR000030,rate_check,web,Web-Desktop,en,2026-01-06 10:37:00,SES804321,Direct,,
EVT00000109,USR000030,register,web,Web-Desktop,en,2026-01-06 13:10:00,SES884584,Direct,,
EVT00000110,USR000030,otp_verify,web,Web-Desktop,en,2026-01-06 15:10:00,SES510448,Direct,,
EVT00000111,USR000030,kyc_pan,web,Web-Desktop,en,2026-01-06 15:37:00,SES816356,Direct,,USER_ABANDONED
EVT00000112,USR000032,landing,web,Android,hi,2026-03-04 06:17:00,SES714669,Influencer-YT,660,
EVT00000113,USR000032,rate_check,web,Android,hi,2026-03-04 06:20:00,SES765940,Influencer-YT,,
EVT00000114,USR000032,register,web,Android,hi,2026-03-04 06:59:00,SES216124,Influencer-YT,,
EVT00000115,USR000032,otp_verify,web,Android,hi,2026-03-04 08:55:00,SES285289,Influencer-YT,,
EVT00000116,USR000032,kyc_pan,web,Android,hi,2026-03-04 11:35:00,SES608849,Influencer-YT,,
EVT00000117,USR000032,kyc_address,web,Android,hi,2026-03-04 12:26:00,SES543363,Influencer-YT,,
EVT00000118,USR000032,vkyc_invite,web,Android,hi,2026-03-04 14:25:00,SES394008,Influencer-YT,,
EVT00000119,USR000032,vkyc_session,web,Android,hi,2026-03-04 14:39:00,SES649325,Influencer-YT,,
EVT00000120,USR000032,vkyc_complete,web,Android,hi,2026-03-04 15:06:00,SES278863,Influencer-YT,,
EVT00000121,USR000032,bank_link,web,Android,hi,2026-03-04 15:18:00,SES462065,Influencer-YT,,
EVT00000122,USR000032,fd_amount_select,web,Android,hi,2026-03-04 16:27:00,SES947389,Influencer-YT,,
EVT00000123,USR000032,fd_tenure_select,web,Android,hi,2026-03-04 18:27:00,SES758558,Influencer-YT,,
EVT00000124,USR000032,fd_review,web,Android,hi,2026-03-04 20:08:00,SES719600,Influencer-YT,,
EVT00000125,USR000032,fd_book_success,web,Android,hi,2026-03-04 22:25:00,SES665706,Influencer-YT,,
EVT00000126,USR000034,landing,web,iOS,bn,2026-05-06 03:02:00,SES579911,WhatsApp,435,
EVT00000127,USR000034,rate_check,web,iOS,bn,2026-05-06 04:38:00,SES453423,WhatsApp,,
EVT00000128,USR000034,register,web,iOS,bn,2026-05-06 07:18:00,SES210738,WhatsApp,,
EVT00000129,USR000034,otp_verify,web,iOS,bn,2026-05-06 08:59:00,SES559393,WhatsApp,,
EVT00000130,USR000034,kyc_pan,web,iOS,bn,2026-05-06 09:19:00,SES556752,WhatsApp,,
EVT00000131,USR000034,kyc_address,web,iOS,bn,2026-05-06 09:58:00,SES700352,WhatsApp,,
EVT00000132,USR000034,vkyc_invite,web,iOS,bn,2026-05-06 11:27:00,SES668000,WhatsApp,,
EVT00000133,USR000034,vkyc_session,web,iOS,bn,2026-05-06 12:17:00,SES504499,WhatsApp,,
EVT00000134,USR000034,vkyc_complete,web,iOS,bn,2026-05-06 12:31:00,SES239202,WhatsApp,,
EVT00000135,USR000034,bank_link,web,iOS,bn,2026-05-06 13:34:00,SES493967,WhatsApp,,
EVT00000136,USR000034,fd_amount_select,web,iOS,bn,2026-05-06 14:23:00,SES251302,WhatsApp,,
EVT00000137,USR000034,fd_tenure_select,web,iOS,bn,2026-05-06 17:02:00,SES255369,WhatsApp,,
EVT00000138,USR000034,fd_review,web,iOS,bn,2026-05-06 18:13:00,SES477054,WhatsApp,,USER_ABANDONED
EVT00000139,USR000038,landing,web,Android,kn,2026-02-04 15:19:00,SES125545,Email,1747,
EVT00000140,USR000038,rate_check,web,Android,kn,2026-02-04 16:02:00,SES625728,Email,,
EVT00000141,USR000038,register,web,Android,kn,2026-02-04 16:03:00,SES566000,Email,,
EVT00000142,USR000038,otp_verify,web,Android,kn,2026-02-04 17:24:00,SES334561,Email,,
EVT00000143,USR000038,kyc_pan,web,Android,kn,2026-02-04 18:59:00,SES827154,Email,,
EVT00000144,USR000038,kyc_address,web,Android,kn,2026-02-04 21:17:00,SES478251,Email,,
EVT00000145,USR000038,vkyc_invite,web,Android,kn,2026-02-04 22:52:00,SES158810,Email,,VALIDATION_FAIL
EVT00000146,USR000039,landing,web,Android,en,2026-02-22 10:00:00,SES184536,Referral,556,
EVT00000147,USR000039,rate_check,web,Android,en,2026-02-22 12:22:00,SES634925,Referral,,
EVT00000148,USR000039,register,web,Android,en,2026-02-22 13:51:00,SES114112,Referral,,
EVT00000149,USR000039,otp_verify,web,Android,en,2026-02-22 14:23:00,SES318380,Referral,,
EVT00000150,USR000039,kyc_pan,web,Android,en,2026-02-22 17:03:00,SES882420,Referral,,
EVT00000151,USR000039,kyc_address,web,Android,en,2026-02-22 19:19:00,SES765953,Referral,,
EVT00000152,USR000039,vkyc_invite,web,Android,en,2026-02-22 21:31:00,SES125703,Referral,,
EVT00000153,USR000039,vkyc_session,web,Android,en,2026-02-22 21:55:00,SES961633,Referral,,
EVT00000154,USR000039,vkyc_complete,web,Android,en,2026-02-22 22:28:00,SES123137,Referral,,
EVT00000155,USR000039,bank_link,web,Android,en,2026-02-22 22:29:00,SES616542,Referral,,
EVT00000156,USR000039,fd_amount_select,web,Android,en,2026-02-22 22:40:00,SES388199,Referral,,
EVT00000157,USR000039,fd_tenure_select,web,Android,en,2026-02-23 00:16:00,SES171036,Referral,,
EVT00000158,USR000039,fd_review,web,Android,en,2026-02-23 02:45:00,SES733033,Referral,,
EVT00000159,USR000039,fd_book_success,web,Android,en,2026-02-23 03:40:00,SES326774,Referral,,
EVT00000160,USR000040,landing,web,Android,en,2026-02-28 13:45:00,SES834168,Google Ads,2739,
EVT00000161,USR000040,rate_check,web,Android,en,2026-02-28 15:23:00,SES689043,Google Ads,,
EVT00000162,USR000040,register,web,Android,en,2026-02-28 17:53:00,SES378112,Google Ads,,
EVT00000163,USR000040,otp_verify,web,Android,en,2026-02-28 20:04:00,SES588078,Google Ads,,
EVT00000164,USR000040,kyc_pan,web,Android,en,2026-02-28 20:56:00,SES144084,Google Ads,,
EVT00000165,USR000040,kyc_address,web,Android,en,2026-02-28 21:35:00,SES807144,Google Ads,,
EVT00000166,USR000040,vkyc_invite,web,Android,en,2026-02-28 22:28:00,SES732008,Google Ads,,
EVT00000167,USR000042,landing,web,Web-Desktop,te,2025-05-04 08:40:00,SES706708,Influencer-YT,1356,
EVT00000168,USR000042,rate_check,web,Web-Desktop,te,2025-05-04 10:31:00,SES411930,Influencer-YT,,TIMEOUT
EVT00000169,USR000044,landing,web,Android,en,2025-04-15 02:12:00,SES263215,Direct,3499,
EVT00000170,USR000044,rate_check,web,Android,en,2025-04-15 03:14:00,SES952425,Direct,,RATE_NOT_COMPETITIVE
EVT00000171,USR000045,landing,web,Web-Desktop,en,2025-08-10 06:27:00,SES793543,Organic search,2514,
EVT00000172,USR000045,rate_check,web,Web-Desktop,en,2025-08-10 07:05:00,SES440153,Organic search,,VKYC_AGENT_BUSY
EVT00000173,USR000047,landing,web,Android,mr,2026-02-01 20:40:00,SES144904,Influencer-YT,3203,
EVT00000174,USR000047,rate_check,web,Android,mr,2026-02-01 22:01:00,SES599784,Influencer-YT,,
EVT00000175,USR000047,register,web,Android,mr,2026-02-02 00:37:00,SES538792,Influencer-YT,,
EVT00000176,USR000047,otp_verify,web,Android,mr,2026-02-02 01:29:00,SES533403,Influencer-YT,,
EVT00000177,USR000047,kyc_pan,web,Android,mr,2026-02-02 03:01:00,SES315124,Influencer-YT,,
EVT00000178,USR000047,kyc_address,web,Android,mr,2026-02-02 05:06:00,SES302933,Influencer-YT,,
EVT00000179,USR000047,vkyc_invite,web,Android,mr,2026-02-02 07:29:00,SES912257,Influencer-YT,,
EVT00000180,USR000047,vkyc_session,web,Android,mr,2026-02-02 08:07:00,SES311023,Influencer-YT,,DOC_REJECTED
EVT00000181,USR000048,landing,web,Android,hi,2025-07-25 02:10:00,SES792299,Email,2741,
EVT00000182,USR000048,rate_check,web,Android,hi,2025-07-25 04:58:00,SES969766,Email,,
EVT00000183,USR000048,register,web,Android,hi,2025-07-25 05:47:00,SES523378,Email,,
EVT00000184,USR000048,otp_verify,web,Android,hi,2025-07-25 08:43:00,SES282312,Email,,
EVT00000185,USR000048,kyc_pan,web,Android,hi,2025-07-25 11:30:00,SES171325,Email,,
EVT00000186,USR000048,kyc_address,web,Android,hi,2025-07-25 13:50:00,SES701861,Email,,
EVT00000187,USR000048,vkyc_invite,web,Android,hi,2025-07-25 13:54:00,SES496782,Email,,
EVT00000188,USR000048,vkyc_session,web,Android,hi,2025-07-25 15:37:00,SES994979,Email,,
EVT00000189,USR000048,vkyc_complete,web,Android,hi,2025-07-25 18:32:00,SES649012,Email,,USER_ABANDONED
EVT00000190,USR000049,landing,web,Web-Desktop,hi,2025-05-30 16:31:00,SES149230,Influencer-YT,1456,
EVT00000191,USR000049,rate_check,web,Web-Desktop,hi,2025-05-30 17:13:00,SES487433,Influencer-YT,,VKYC_AGENT_BUSY
EVT00000192,USR000051,landing,web,iOS,ta,2025-11-09 19:55:00,SES377247,WhatsApp,2468,
EVT00000193,USR000051,rate_check,web,iOS,ta,2025-11-09 22:34:00,SES672594,WhatsApp,,
EVT00000194,USR000051,register,web,iOS,ta,2025-11-10 00:03:00,SES860666,WhatsApp,,
EVT00000195,USR000051,otp_verify,web,iOS,ta,2025-11-10 02:19:00,SES578207,WhatsApp,,
EVT00000196,USR000051,kyc_pan,web,iOS,ta,2025-11-10 02:31:00,SES959754,WhatsApp,,
EVT00000197,USR000051,kyc_address,web,iOS,ta,2025-11-10 03:41:00,SES659922,WhatsApp,,
EVT00000198,USR000051,vkyc_invite,web,iOS,ta,2025-11-10 04:47:00,SES536708,WhatsApp,,
EVT00000199,USR000051,vkyc_session,web,iOS,ta,2025-11-10 06:09:00,SES665377,WhatsApp,,
EVT00000200,USR000051,vkyc_complete,web,iOS,ta,2025-11-10 09:07:00,SES580110,WhatsApp,,
EVT00000201,USR000051,bank_link,web,iOS,ta,2025-11-10 11:50:00,SES242079,WhatsApp,,
EVT00000202,USR000051,fd_amount_select,web,iOS,ta,2025-11-10 12:37:00,SES204814,WhatsApp,,
EVT00000203,USR000051,fd_tenure_select,web,iOS,ta,2025-11-10 15:29:00,SES628853,WhatsApp,,
EVT00000204,USR000051,fd_review,web,iOS,ta,2025-11-10 17:18:00,SES837392,WhatsApp,,
EVT00000205,USR000051,fd_book_success,web,iOS,ta,2025-11-10 19:05:00,SES412102,WhatsApp,,
EVT00000206,USR000052,landing,web,iOS,en,2025-10-26 14:43:00,SES816965,Organic search,1423,
EVT00000207,USR000052,rate_check,web,iOS,en,2025-10-26 14:50:00,SES657008,Organic search,,
EVT00000208,USR000052,register,web,iOS,en,2025-10-26 17:13:00,SES109032,Organic search,,
EVT00000209,USR000052,otp_verify,web,iOS,en,2025-10-26 18:08:00,SES566754,Organic search,,
EVT00000210,USR000052,kyc_pan,web,iOS,en,2025-10-26 20:53:00,SES913633,Organic search,,
EVT00000211,USR000052,kyc_address,web,iOS,en,2025-10-26 21:55:00,SES560131,Organic search,,
EVT00000212,USR000052,vkyc_invite,web,iOS,en,2025-10-26 23:43:00,SES870653,Organic search,,
EVT00000213,USR000052,vkyc_session,web,iOS,en,2025-10-27 01:58:00,SES653126,Organic search,,
EVT00000214,USR000052,vkyc_complete,web,iOS,en,2025-10-27 03:12:00,SES184196,Organic search,,
EVT00000215,USR000052,bank_link,web,iOS,en,2025-10-27 04:34:00,SES610248,Organic search,,
EVT00000216,USR000052,fd_amount_select,web,iOS,en,2025-10-27 07:17:00,SES203212,Organic search,,
EVT00000217,USR000052,fd_tenure_select,web,iOS,en,2025-10-27 09:10:00,SES310015,Organic search,,
EVT00000218,USR000052,fd_review,web,iOS,en,2025-10-27 10:23:00,SES958310,Organic search,,
EVT00000219,USR000052,fd_book_success,web,iOS,en,2025-10-27 10:54:00,SES981570,Organic search,,
EVT00000220,USR000053,landing,web,iOS,en,2026-04-27 10:14:00,SES387563,Direct,3108,
EVT00000221,USR000053,rate_check,web,iOS,en,2026-04-27 11:19:00,SES114211,Direct,,
EVT00000222,USR000053,register,web,iOS,en,2026-04-27 12:45:00,SES563699,Direct,,
EVT00000223,USR000053,otp_verify,web,iOS,en,2026-04-27 14:30:00,SES504954,Direct,,
EVT00000224,USR000053,kyc_pan,web,iOS,en,2026-04-27 17:04:00,SES744307,Direct,,
EVT00000225,USR000053,kyc_address,web,iOS,en,2026-04-27 19:15:00,SES794371,Direct,,
EVT00000226,USR000053,vkyc_invite,web,iOS,en,2026-04-27 21:05:00,SES459603,Direct,,
EVT00000227,USR000053,vkyc_session,web,iOS,en,2026-04-27 22:26:00,SES460293,Direct,,
EVT00000228,USR000053,vkyc_complete,web,iOS,en,2026-04-27 23:43:00,SES256960,Direct,,
EVT00000229,USR000053,bank_link,web,iOS,en,2026-04-28 02:07:00,SES926538,Direct,,
EVT00000230,USR000053,fd_amount_select,web,iOS,en,2026-04-28 04:04:00,SES283001,Direct,,
EVT00000231,USR000053,fd_tenure_select,web,iOS,en,2026-04-28 06:31:00,SES736592,Direct,,
EVT00000232,USR000053,fd_review,web,iOS,en,2026-04-28 08:30:00,SES269887,Direct,,
EVT00000233,USR000053,fd_book_success,web,iOS,en,2026-04-28 10:18:00,SES595115,Direct,,
EVT00000234,USR000054,landing,web,Web-Desktop,en,2025-06-15 09:51:00,SES124611,Direct,585,
EVT00000235,USR000054,rate_check,web,Web-Desktop,en,2025-06-15 10:58:00,SES209275,Direct,,USER_ABANDONED
EVT00000236,USR000057,landing,web,Android,mr,2025-10-11 17:29:00,SES268748,Organic search,1861,
EVT00000237,USR000057,rate_check,web,Android,mr,2025-10-11 18:29:00,SES757348,Organic search,,
EVT00000238,USR000057,register,web,Android,mr,2025-10-11 21:15:00,SES518160,Organic search,,USER_ABANDONED
EVT00000239,USR000058,landing,web,Android,mr,2025-08-11 09:39:00,SES961848,Google Ads,1932,
EVT00000240,USR000058,rate_check,web,Android,mr,2025-08-11 10:53:00,SES996901,Google Ads,,
EVT00000241,USR000058,register,web,Android,mr,2025-08-11 11:03:00,SES713911,Google Ads,,
EVT00000242,USR000058,otp_verify,web,Android,mr,2025-08-11 11:23:00,SES398574,Google Ads,,
EVT00000243,USR000058,kyc_pan,web,Android,mr,2025-08-11 11:33:00,SES694088,Google Ads,,
EVT00000244,USR000058,kyc_address,web,Android,mr,2025-08-11 11:55:00,SES106663,Google Ads,,USER_ABANDONED
EVT00000245,USR000059,landing,web,Web-Mobile,en,2025-06-19 14:13:00,SES381821,Direct,1818,
EVT00000246,USR000059,rate_check,web,Web-Mobile,en,2025-06-19 16:19:00,SES862502,Direct,,DOC_REJECTED
EVT00000247,USR000060,landing,web,Web-Desktop,hi,2025-01-07 20:02:00,SES778124,Referral,1469,
EVT00000248,USR000060,rate_check,web,Web-Desktop,hi,2025-01-07 20:36:00,SES456384,Referral,,
EVT00000249,USR000060,register,web,Web-Desktop,hi,2025-01-07 22:57:00,SES698329,Referral,,
EVT00000250,USR000060,otp_verify,web,Web-Desktop,hi,2025-01-08 00:55:00,SES819866,Referral,,
EVT00000251,USR000060,kyc_pan,web,Web-Desktop,hi,2025-01-08 01:46:00,SES159243,Referral,,
EVT00000252,USR000060,kyc_address,web,Web-Desktop,hi,2025-01-08 02:37:00,SES265513,Referral,,
EVT00000253,USR000060,vkyc_invite,web,Web-Desktop,hi,2025-01-08 04:19:00,SES491660,Referral,,
EVT00000254,USR000060,vkyc_session,web,Web-Desktop,hi,2025-01-08 06:02:00,SES697216,Referral,,
EVT00000255,USR000060,vkyc_complete,web,Web-Desktop,hi,2025-01-08 06:14:00,SES885890,Referral,,
EVT00000256,USR000060,bank_link,web,Web-Desktop,hi,2025-01-08 08:55:00,SES658067,Referral,,
EVT00000257,USR000060,fd_amount_select,web,Web-Desktop,hi,2025-01-08 10:39:00,SES887488,Referral,,
EVT00000258,USR000060,fd_tenure_select,web,Web-Desktop,hi,2025-01-08 11:10:00,SES953293,Referral,,
EVT00000259,USR000060,fd_review,web,Web-Desktop,hi,2025-01-08 12:05:00,SES801440,Referral,,
EVT00000260,USR000060,fd_book_success,web,Web-Desktop,hi,2025-01-08 12:06:00,SES770386,Referral,,
