check_id,user_id,ts,amount_searched_inr,tenor_days,best_rate_shown_pa,banks_compared,booked_within_24h,time_on_page_seconds,language,device,city_tier,comparison_competitor
RC329577742,USR000904,2025-09-22 14:42:53,250000,1825,8.14,4,False,209,bn,Android,T1,wint
RC344775604,USR000904,2025-10-16 04:56:26,50000,180,7.88,3,False,356,bn,Android,T1,none
RC510308634,USR000904,2025-07-22 05:54:44,25000,730,6.54,5,False,280,bn,Android,T1,wint
RC980492211,USR000286,2026-03-19 22:36:46,100000,730,6.9,8,False,133,en,iOS,T1,stable_money
RC297300838,USR000286,2025-06-11 18:08:36,500000,730,7.22,4,False,169,en,iOS,T1,jar.app
RC192220019,USR000286,2025-08-23 23:46:53,10000,1825,7.16,7,False,98,en,iOS,T1,fixed.com
RC774846175,USR000286,2025-09-11 01:49:41,25000,1825,7.98,2,True,370,en,iOS,T1,jar.app
RC815789577,USR000286,2025-08-12 04:49:05,100000,730,6.54,2,False,14,en,iOS,T1,none
RC376216605,USR000286,2026-01-17 13:16:33,1000000,180,8.09,6,True,193,en,iOS,T1,none
RC456868923,USR000723,2025-07-12 22:17:59,500000,365,6.57,8,False,19,en,Android,T1,self_compared
RC457916855,USR000723,2025-09-06 15:58:39,250000,90,7.22,6,True,268,en,Android,T1,jar.app
RC445020281,USR000723,2025-07-02 15:27:20,25000,180,6.57,4,False,388,en,Android,T1,fixed.com
RC291264417,USR000723,2026-03-22 00:38:47,25000,730,7.06,4,False,224,en,Android,T1,none
RC121182346,USR000723,2025-07-23 23:44:28,50000,180,6.84,7,False,161,en,Android,T1,self_compared
RC495559547,USR000723,2025-12-04 20:37:15,250000,730,6.86,6,False,378,en,Android,T1,stable_money
RC805121415,USR000086,2025-08-04 10:43:07,250000,730,8.52,6,False,329,te,iOS,T1,fixed.com
RC908133653,USR000086,2026-02-18 06:44:19,100000,730,7.05,7,False,376,te,iOS,T1,none
RC173575254,USR000086,2026-03-07 22:15:32,50000,730,6.86,6,True,171,te,iOS,T1,jar.app
RC782167365,USR000658,2026-03-16 17:49:26,1000000,1825,7.34,4,False,72,kn,Android,T3,self_compared
RC266704322,USR000658,2026-03-08 22:17:38,100000,90,7.35,7,False,416,kn,Android,T3,self_compared
RC274795873,USR000658,2025-12-06 13:29:41,1000000,730,8.4,6,False,129,kn,Android,T3,none
RC802142001,USR000658,2025-12-30 03:21:09,10000,90,6.95,6,False,401,kn,Android,T3,none
RC567578948,USR000658,2025-08-03 09:55:58,10000,180,6.98,3,False,308,kn,Android,T3,none
RC534634125,USR000658,2025-11-09 03:51:48,100000,730,8.21,5,False,142,kn,Android,T3,jar.app
RC557683967,USR000076,2025-08-13 04:13:35,250000,730,7.56,6,False,362,hi,Android,T3,none
RC341148857,USR000144,2025-11-20 07:32:32,50000,730,7.22,7,False,69,en,Android,T2,stable_money
RC148942298,USR000144,2025-10-05 12:03:18,250000,730,6.98,3,False,393,en,Android,T2,self_compared
RC334698671,USR000144,2026-03-07 17:38:56,250000,1825,6.9,3,False,344,en,Android,T2,wint
RC881222687,USR000144,2026-03-02 04:13:47,250000,1825,7.43,8,False,216,en,Android,T2,none
RC403395799,USR000013,2025-08-03 02:00:00,10000,90,8.54,7,True,316,en,Web-Desktop,T2,jar.app
RC308424178,USR000868,2025-06-09 22:08:07,10000,730,7.47,3,False,156,hi,Android,T1,stable_money
RC322003273,USR000868,2026-02-27 13:25:26,500000,90,7.14,7,False,369,hi,Android,T1,none
RC337087204,USR000868,2025-09-28 18:49:45,500000,90,6.67,8,False,229,hi,Android,T1,jar.app
RC113724883,USR000868,2025-08-07 14:03:38,10000,365,6.92,3,False,154,hi,Android,T1,jar.app
RC762891408,USR000581,2025-07-07 22:30:24,50000,90,7.6,5,False,89,hi,Android,T2,none
RC369215561,USR000581,2026-01-30 14:36:13,250000,730,6.6,4,False,385,hi,Android,T2,wint
RC594389516,USR000581,2025-11-26 06:46:21,50000,365,7.32,7,False,209,hi,Android,T2,none
RC177373331,USR000581,2025-10-30 19:04:00,1000000,90,8.36,2,False,420,hi,Android,T2,wint
RC478223267,USR000058,2026-03-02 11:09:48,250000,180,7.13,4,False,199,mr,Android,T1,wint
RC485986886,USR000463,2025-10-27 07:22:11,50000,1825,7.64,3,False,272,en,Android,T3,none
RC798554376,USR000463,2025-08-05 02:15:50,100000,180,8.04,4,False,380,en,Android,T3,self_compared
RC126187015,USR000103,2026-02-22 08:38:27,50000,365,7.85,5,False,56,bn,Android,T2,none
RC876043967,USR000103,2026-03-14 21:50:55,250000,365,7.84,2,False,163,bn,Android,T2,none
RC675287898,USR000103,2025-12-12 10:10:25,500000,730,7.2,6,False,271,bn,Android,T2,wint
RC213082512,USR000192,2025-06-09 07:10:16,25000,365,7.18,4,False,60,en,Web-Mobile,T1,fixed.com
RC807249776,USR000192,2026-01-18 06:12:18,100000,90,7.89,2,False,198,en,Web-Mobile,T1,jar.app
RC497522843,USR000192,2026-01-31 10:43:25,500000,365,8.17,5,False,23,en,Web-Mobile,T1,self_compared
RC919449544,USR000192,2025-09-17 18:43:21,10000,1825,7.98,6,False,196,en,Web-Mobile,T1,wint
RC645419674,USR000192,2025-06-28 03:29:34,10000,90,7.55,5,False,77,en,Web-Mobile,T1,fixed.com
RC535823423,USR000884,2025-06-21 16:45:02,100000,180,8.53,2,False,129,en,Web-Desktop,T1,jar.app
RC161187848,USR000884,2025-08-01 21:19:08,1000000,365,8.43,5,False,398,en,Web-Desktop,T1,self_compared
RC987555754,USR000884,2025-09-15 06:04:19,100000,1825,6.59,7,False,132,en,Web-Desktop,T1,wint
RC111750726,USR000884,2026-02-16 08:07:59,10000,365,6.51,8,False,351,en,Web-Desktop,T1,self_compared
RC284956555,USR000884,2026-01-30 15:55:02,50000,180,8.58,7,False,294,en,Web-Desktop,T1,self_compared
RC893469285,USR000884,2025-11-07 16:15:54,1000000,90,7.7,5,False,221,en,Web-Desktop,T1,wint
RC106386247,USR000295,2025-07-02 20:25:21,10000,365,6.89,8,True,333,ta,iOS,T1,self_compared
RC275122350,USR000295,2025-08-04 07:53:39,250000,90,7.25,5,False,122,ta,iOS,T1,none
RC356239227,USR000295,2025-11-01 01:20:44,250000,730,8.51,5,False,35,ta,iOS,T1,jar.app
RC755078034,USR000295,2025-10-19 16:46:32,1000000,730,8.15,4,False,314,ta,iOS,T1,stable_money
RC410963528,USR000295,2026-02-15 06:12:26,50000,365,8.57,3,False,37,ta,iOS,T1,jar.app
RC658926374,USR000496,2025-09-28 00:45:56,50000,1825,8.02,2,False,56,hi,Android,T1,jar.app
RC350349158,USR000496,2025-07-01 21:15:20,25000,365,8.56,8,True,158,hi,Android,T1,stable_money
RC135797424,USR000496,2025-08-16 19:34:55,250000,90,8.16,6,False,72,hi,Android,T1,none
RC943630057,USR000496,2025-11-23 21:14:42,50000,730,6.96,2,False,187,hi,Android,T1,jar.app
RC433930035,USR000496,2025-06-02 13:40:43,250000,90,6.59,6,False,134,hi,Android,T1,none
RC267471047,USR000496,2025-10-25 08:50:17,100000,365,7.15,3,False,322,hi,Android,T1,self_compared
RC532514869,USR000541,2025-11-25 10:42:36,250000,90,6.83,4,False,318,hi,iOS,T2,jar.app
RC910002563,USR000258,2025-06-11 12:46:59,500000,180,6.87,7,False,294,hi,iOS,T3,jar.app
RC549911605,USR000258,2025-12-15 21:52:14,1000000,90,8.26,5,False,280,hi,iOS,T3,self_compared
RC222908761,USR000258,2025-06-17 20:45:26,25000,730,7.58,4,False,327,hi,iOS,T3,stable_money
RC138687057,USR000344,2025-12-16 12:36:32,10000,180,7.81,6,False,152,en,Android,T2,self_compared
RC206694662,USR000344,2025-06-26 02:15:55,25000,90,8.28,5,False,31,en,Android,T2,stable_money
RC702053197,USR000240,2025-10-12 09:17:41,250000,1825,7.0,8,False,19,hi,Android,T2,none
RC758998979,USR000240,2025-10-02 12:10:03,25000,90,7.59,6,False,292,hi,Android,T2,wint
RC644034029,USR000240,2026-02-21 01:40:20,500000,730,6.97,8,False,25,hi,Android,T2,jar.app
RC134698767,USR000854,2026-03-15 16:39:56,10000,180,8.19,2,True,226,te,Web-Desktop,T3,stable_money
RC545310733,USR000854,2026-03-26 06:57:41,1000000,180,7.32,2,True,19,te,Web-Desktop,T3,fixed.com
RC596266528,USR000854,2025-07-12 02:21:14,250000,730,6.72,2,False,166,te,Web-Desktop,T3,jar.app
RC938615996,USR000854,2025-10-13 02:36:42,10000,365,8.43,4,False,110,te,Web-Desktop,T3,none
RC482157390,USR000854,2026-01-15 22:41:40,10000,365,7.3,4,False,419,te,Web-Desktop,T3,self_compared
RC591562430,USR000490,2025-08-07 04:20:58,100000,1825,7.9,8,False,286,en,iOS,T1,stable_money
RC223846673,USR000988,2025-10-09 07:58:52,100000,90,7.23,2,False,113,kn,Web-Desktop,T3,stable_money
RC718904139,USR000988,2025-06-25 09:35:59,500000,90,6.74,5,False,263,kn,Web-Desktop,T3,wint
RC104228661,USR000988,2025-10-21 10:15:15,250000,180,8.1,6,False,397,kn,Web-Desktop,T3,none
RC182363464,USR000280,2025-09-05 10:56:46,250000,730,8.23,6,False,237,hi,Web-Desktop,T1,self_compared
RC799579716,USR000280,2025-11-11 21:22:07,100000,180,6.73,7,True,158,hi,Web-Desktop,T1,fixed.com
RC590427930,USR000280,2026-03-13 16:59:05,10000,180,7.63,2,False,290,hi,Web-Desktop,T1,wint
RC414279942,USR000067,2025-09-27 10:58:13,250000,730,8.49,5,False,300,en,Android,T2,stable_money
RC306116351,USR000067,2025-11-03 14:14:42,250000,730,8.59,7,False,359,en,Android,T2,none
RC519434126,USR000067,2025-08-27 04:38:02,250000,90,7.58,6,True,373,en,Android,T2,self_compared
RC427347093,USR000067,2025-12-17 20:27:12,100000,730,7.65,8,False,392,en,Android,T2,jar.app
RC115637521,USR000273,2025-10-26 21:41:36,250000,730,8.49,3,False,308,ta,Android,T2,none
RC709671665,USR000273,2025-06-10 10:50:31,250000,90,7.01,3,False,153,ta,Android,T2,stable_money
RC438179904,USR000273,2025-10-22 11:23:25,1000000,90,7.91,6,False,404,ta,Android,T2,self_compared
RC224084277,USR000273,2025-09-18 06:13:42,1000000,730,7.66,2,False,403,ta,Android,T2,self_compared
RC398457503,USR000437,2025-09-30 21:16:55,10000,1825,6.86,6,False,251,ml,Android,T2,none
RC799617603,USR000437,2025-08-08 12:38:56,100000,365,7.67,6,False,157,ml,Android,T2,fixed.com
RC722640564,USR000437,2025-12-22 02:20:47,50000,1825,6.52,8,False,204,ml,Android,T2,wint
RC678044442,USR000437,2025-11-14 08:32:14,500000,1825,8.33,6,False,226,ml,Android,T2,jar.app
RC524884799,USR000437,2025-08-16 03:01:10,500000,365,6.65,5,False,413,ml,Android,T2,jar.app
RC267930132,USR000651,2026-01-31 10:09:42,25000,365,7.92,5,False,311,mr,Android,T2,none
RC116779363,USR000651,2026-01-04 19:25:47,250000,90,7.41,3,False,267,mr,Android,T2,self_compared
RC877257432,USR000651,2025-09-10 09:22:17,25000,90,7.27,2,False,140,mr,Android,T2,none
RC471977048,USR000651,2026-02-18 18:45:05,100000,1825,6.99,4,False,124,mr,Android,T2,self_compared
RC610740830,USR000651,2026-02-15 21:30:08,100000,1825,8.42,2,False,265,mr,Android,T2,wint
RC597464608,USR000651,2026-02-08 20:31:32,250000,1825,8.03,2,False,56,mr,Android,T2,none
RC429181404,USR000329,2026-01-22 23:03:43,250000,365,7.05,3,False,294,te,Android,T3,jar.app
RC721538742,USR000329,2026-01-02 22:17:16,500000,90,6.81,4,True,372,te,Android,T3,fixed.com
RC701571887,USR000329,2025-09-29 21:35:34,50000,1825,8.12,7,False,103,te,Android,T3,none
RC311370546,USR000329,2026-02-09 07:48:31,500000,180,6.77,7,True,63,te,Android,T3,stable_money
RC655125572,USR000627,2025-06-30 19:11:03,10000,1825,7.94,2,False,386,mr,iOS,T2,none
RC823846664,USR000627,2026-03-26 20:20:13,100000,1825,7.21,6,False,179,mr,iOS,T2,fixed.com
RC309645381,USR000246,2025-11-10 08:23:59,25000,730,6.78,8,False,252,ta,Web-Mobile,T2,jar.app
RC276851601,USR000246,2025-09-25 00:16:27,10000,180,8.43,6,False,126,ta,Web-Mobile,T2,self_compared
RC706862089,USR000246,2025-07-24 14:27:57,100000,90,7.7,3,True,177,ta,Web-Mobile,T2,self_compared
RC238268672,USR000246,2026-02-24 05:34:45,10000,1825,6.73,6,False,320,ta,Web-Mobile,T2,stable_money
RC294518501,USR000246,2025-09-28 11:22:17,500000,180,7.76,8,False,52,ta,Web-Mobile,T2,self_compared
RC988960581,USR000246,2025-10-13 19:54:45,250000,90,6.81,5,False,134,ta,Web-Mobile,T2,jar.app
RC595396096,USR000124,2025-07-19 22:30:31,250000,365,6.86,5,True,56,en,iOS,T2,fixed.com
RC255405838,USR000124,2025-07-23 21:42:56,100000,365,8.32,5,False,44,en,iOS,T2,stable_money
RC686647623,USR000124,2026-01-24 13:35:05,500000,90,8.02,6,False,312,en,iOS,T2,wint
RC645040097,USR000124,2025-12-22 00:17:17,25000,365,7.72,5,False,34,en,iOS,T2,fixed.com
RC832184382,USR000124,2025-06-01 12:58:56,250000,90,6.54,6,False,309,en,iOS,T2,none
RC151463798,USR000480,2026-02-11 23:48:48,500000,365,6.53,3,True,102,hi,Web-Mobile,T1,fixed.com
RC524144214,USR000480,2025-06-21 04:30:41,10000,730,8.34,7,False,375,hi,Web-Mobile,T1,stable_money
RC366993092,USR000480,2025-08-15 02:54:54,25000,1825,7.89,8,False,202,hi,Web-Mobile,T1,none
RC167374837,USR000480,2025-10-18 19:03:55,1000000,1825,8.49,5,True,127,hi,Web-Mobile,T1,none
RC927345685,USR000480,2025-07-22 21:34:18,25000,1825,8.08,6,False,383,hi,Web-Mobile,T1,wint
RC813741302,USR000944,2025-11-14 06:14:27,500000,180,8.5,3,False,174,hi,Android,T1,jar.app
RC864436396,USR000944,2026-02-21 06:22:51,1000000,1825,8.33,8,False,73,hi,Android,T1,stable_money
RC684984183,USR000944,2025-11-08 18:00:18,10000,730,7.22,5,True,123,hi,Android,T1,jar.app
RC632845285,USR000944,2026-01-21 04:52:19,100000,180,6.9,8,True,382,hi,Android,T1,stable_money
RC592262914,USR000944,2026-01-09 01:27:04,100000,180,7.53,2,False,175,hi,Android,T1,fixed.com
RC344121619,USR000867,2025-08-23 12:09:07,1000000,365,8.01,8,True,51,mr,Android,T1,wint
RC312357098,USR000199,2025-07-06 16:55:38,250000,90,7.59,5,True,382,en,Android,T2,fixed.com
RC153020030,USR000199,2025-09-26 02:33:44,100000,90,8.35,2,False,109,en,Android,T2,fixed.com
RC604179645,USR000199,2026-02-07 15:01:04,25000,1825,8.48,7,False,417,en,Android,T2,jar.app
RC731850742,USR000199,2025-07-12 22:39:42,500000,365,7.79,7,False,264,en,Android,T2,self_compared
RC167156439,USR000237,2026-03-13 22:28:08,100000,1825,6.87,8,True,343,hi,Android,T1,wint
RC484841890,USR000237,2026-01-09 03:30:04,1000000,90,8.24,8,False,267,hi,Android,T1,fixed.com
RC931993023,USR000237,2025-07-26 05:13:32,25000,90,7.0,2,False,175,hi,Android,T1,wint
RC600581351,USR000237,2025-09-24 21:15:18,1000000,90,8.11,2,True,91,hi,Android,T1,fixed.com
RC658236981,USR000237,2025-10-04 16:10:47,10000,365,6.65,3,False,403,hi,Android,T1,wint
RC432521751,USR000237,2026-01-23 05:31:47,100000,180,7.02,6,False,220,hi,Android,T1,wint
RC593857809,USR000655,2026-01-26 14:51:20,1000000,1825,7.67,8,False,406,en,Android,T3,none
RC813457469,USR000655,2026-01-29 09:37:02,1000000,730,7.6,3,False,307,en,Android,T3,wint
RC211650590,USR000655,2026-03-25 23:09:01,100000,1825,7.46,6,False,39,en,Android,T3,jar.app
RC533376660,USR000655,2025-11-29 21:51:44,10000,90,6.5,7,False,21,en,Android,T3,wint
RC644707766,USR000655,2025-10-02 03:53:16,50000,1825,7.28,7,False,342,en,Android,T3,none
RC890751886,USR000803,2026-01-01 06:46:22,500000,180,8.03,4,False,166,en,Web-Mobile,T1,stable_money
RC442357632,USR000803,2025-07-31 23:56:01,100000,365,7.91,3,False,42,en,Web-Mobile,T1,jar.app
RC532283218,USR000777,2025-12-23 19:48:53,100000,180,8.42,8,False,247,kn,Android,T2,stable_money
RC802493069,USR000777,2025-09-29 11:34:44,10000,365,7.78,3,False,71,kn,Android,T2,self_compared
RC193299863,USR000777,2025-07-31 19:51:58,10000,365,8.54,7,True,42,kn,Android,T2,none
RC340128176,USR000777,2026-02-12 02:31:57,100000,1825,6.54,2,False,369,kn,Android,T2,jar.app
RC803907957,USR000777,2025-07-28 04:25:34,100000,365,6.68,8,False,406,kn,Android,T2,fixed.com
RC313855183,USR000777,2025-09-12 08:42:35,25000,730,7.14,3,False,9,kn,Android,T2,jar.app
RC258405036,USR000348,2025-11-27 10:14:26,10000,180,7.03,6,False,296,en,Android,T2,none
RC805056016,USR000790,2025-09-14 10:12:00,500000,365,7.07,8,False,357,ta,iOS,T2,wint
RC881219513,USR000547,2025-07-13 03:01:12,500000,1825,6.81,4,True,15,en,Android,T2,self_compared
RC667705552,USR000547,2025-10-09 14:49:07,10000,365,8.14,4,False,151,en,Android,T2,jar.app
RC802301830,USR000547,2025-10-14 08:04:07,50000,365,6.78,7,False,369,en,Android,T2,jar.app
RC692432115,USR000357,2025-08-25 21:26:14,500000,730,7.32,6,False,184,ml,Android,T2,stable_money
RC713393259,USR000357,2025-12-02 07:07:09,100000,90,6.98,5,True,110,ml,Android,T2,fixed.com
RC138720510,USR000488,2025-12-03 16:08:05,500000,730,8.24,7,False,408,en,Android,T2,fixed.com
RC377027992,USR000488,2026-01-11 07:58:00,1000000,90,7.63,2,False,180,en,Android,T2,jar.app
RC371007704,USR000488,2025-11-16 13:06:30,25000,730,8.02,7,False,146,en,Android,T2,none
RC174845545,USR000488,2025-11-30 01:34:53,250000,730,6.67,4,False,65,en,Android,T2,none
RC404648716,USR000488,2025-08-10 14:07:02,500000,90,7.87,6,True,236,en,Android,T2,jar.app
RC145440555,USR000104,2025-06-05 21:17:45,250000,90,7.7,7,False,253,en,Android,T2,fixed.com
RC261234245,USR000104,2025-07-17 07:40:12,100000,180,7.41,6,False,120,en,Android,T2,self_compared
RC491704346,USR000104,2025-10-09 22:23:54,500000,730,8.09,8,False,213,en,Android,T2,fixed.com
RC587567196,USR000104,2026-03-21 08:50:35,10000,730,8.32,7,False,278,en,Android,T2,wint
RC344748191,USR000234,2025-10-07 14:45:53,500000,730,7.17,4,False,288,kn,Web-Mobile,T2,self_compared
RC282759140,USR000234,2025-09-27 02:46:58,250000,730,7.22,6,False,207,kn,Web-Mobile,T2,jar.app
RC105480112,USR000234,2025-08-06 20:14:29,1000000,90,6.58,7,False,286,kn,Web-Mobile,T2,jar.app
RC532947224,USR000234,2026-01-22 03:32:17,50000,180,7.64,4,False,158,kn,Web-Mobile,T2,self_compared
RC998310012,USR000234,2025-06-19 14:47:11,10000,180,8.07,2,False,159,kn,Web-Mobile,T2,wint
RC517963155,USR000234,2025-12-12 05:14:07,10000,90,6.83,8,False,243,kn,Web-Mobile,T2,none
RC120512123,USR000789,2026-01-23 11:19:11,1000000,365,7.71,3,False,343,en,Android,T3,fixed.com
RC736298814,USR000789,2025-06-14 21:37:09,100000,90,7.76,7,False,227,en,Android,T3,fixed.com
RC448424767,USR000789,2025-06-19 22:08:54,250000,180,8.43,7,False,333,en,Android,T3,wint
RC238210155,USR000789,2026-01-05 11:07:42,100000,1825,7.6,8,False,8,en,Android,T3,self_compared
RC394582618,USR000789,2025-11-16 11:02:24,1000000,365,8.0,8,False,80,en,Android,T3,fixed.com
RC941197307,USR000957,2025-08-31 09:38:52,1000000,1825,8.05,8,False,221,hi,Android,T2,fixed.com
RC118749749,USR000470,2025-11-02 01:30:56,10000,365,7.6,6,False,325,gu,Android,T1,stable_money
RC515397151,USR000470,2025-11-20 06:14:20,500000,90,7.43,8,False,29,gu,Android,T1,stable_money
RC127213160,USR000470,2025-09-27 04:00:29,25000,365,7.44,3,False,88,gu,Android,T1,none
RC890295077,USR000849,2025-06-11 13:06:41,25000,365,7.46,5,False,190,en,Android,T1,fixed.com
RC468587946,USR000849,2025-11-10 18:27:14,50000,90,8.24,8,False,61,en,Android,T1,jar.app
RC298397235,USR000849,2025-08-11 21:06:00,1000000,90,6.66,2,False,297,en,Android,T1,stable_money
RC919315183,USR000849,2025-08-14 23:22:32,100000,90,6.85,3,False,353,en,Android,T1,jar.app
RC735993758,USR000849,2025-12-09 06:24:35,1000000,730,7.99,4,False,212,en,Android,T1,stable_money
RC665500455,USR000096,2025-08-04 16:38:03,100000,365,8.07,2,False,394,en,Android,T1,fixed.com
RC986542065,USR000096,2026-01-25 14:29:35,100000,90,7.66,8,False,177,en,Android,T1,fixed.com
RC591633205,USR000755,2025-06-23 03:05:22,1000000,365,6.75,3,True,46,kn,Web-Mobile,T3,self_compared
RC196393196,USR000755,2026-01-16 03:17:24,250000,90,6.87,6,False,350,kn,Web-Mobile,T3,fixed.com
RC651360042,USR000755,2025-12-08 19:53:54,25000,365,6.86,3,False,268,kn,Web-Mobile,T3,fixed.com
RC956723109,USR000755,2026-01-07 12:54:34,50000,1825,7.03,5,False,409,kn,Web-Mobile,T3,self_compared
RC744583522,USR000755,2026-02-06 02:24:11,25000,365,7.56,2,False,411,kn,Web-Mobile,T3,fixed.com
RC889477332,USR000975,2025-07-12 04:10:11,250000,730,6.82,8,False,33,hi,iOS,T2,self_compared
RC843127765,USR000975,2025-12-20 20:31:09,10000,365,6.86,7,False,168,hi,iOS,T2,jar.app
RC885176434,USR000426,2025-10-09 11:58:21,50000,90,8.49,5,True,28,bn,Android,T2,jar.app
RC950407576,USR000426,2025-06-11 06:28:30,250000,365,7.75,5,False,114,bn,Android,T2,jar.app
RC858849484,USR000426,2026-02-06 08:55:59,25000,365,6.63,5,False,269,bn,Android,T2,wint
RC275671301,USR000426,2025-12-11 18:04:02,1000000,90,8.36,5,False,125,bn,Android,T2,none
