pg_txn_id,order_id,ts,user_id,gateway,method,amount_inr,status,failure_code,merchant_category,card_network,is_recurring,mandate_id
PG20840545847700,ORD79910943087,2026-01-08 04:49:01,USR000184,Paytm-PG,UPI,25959.57,CAPTURED,,insurance,,False,MND2394497237
PG41974617917424,ORD83238061931,2025-09-13 22:17:37,USR000184,PayU,EMI,19170.6,CAPTURED,,insurance,,False,
PG54455382494308,ORD35078132108,2026-02-24 04:48:29,USR000184,CCAvenue,UPI,45449.68,CAPTURED,,insurance,,False,
PG90570261040736,ORD51557677970,2025-06-19 03:39:36,USR000184,PayU,UPI,34975.0,REFUNDED,,insurance,,False,
PG48222686215685,ORD61086899985,2025-05-19 23:45:30,USR000184,Cashfree,UPI,61575.54,CAPTURED,,recharge,,False,
PG47762207929005,ORD15150013533,2025-07-11 04:51:16,USR000295,Cashfree,UPI,30323.78,CAPTURED,,investment,,False,
PG35014053922941,ORD69169370477,2025-09-24 20:30:11,USR000295,Paytm-PG,CC,34567.05,CAPTURED,,recharge,AMEX,False,
PG33061202053697,ORD36823452900,2025-01-28 08:46:05,USR000295,Paytm-PG,DC,37967.99,REFUNDED,,fd_booking,MC,False,
PG50114770910154,ORD10639878068,2026-04-26 22:11:30,USR000295,HDFC-PG,UPI,38099.32,CAPTURED,,utility,,False,
PG53546079593027,ORD60362397271,2025-03-22 22:50:00,USR000295,Razorpay,UPI,15291.4,CAPTURED,,utility,,False,
PG58442547679016,ORD46541493076,2025-12-17 00:34:23,USR000295,HDFC-PG,DC,39093.76,CAPTURED,,recharge,RUPAY,True,MND9780894942
PG16038028843489,ORD83962158975,2025-08-02 20:12:09,USR000895,CCAvenue,UPI,56166.52,CAPTURED,,fd_booking,,False,
PG46140711596136,ORD38283496420,2025-07-14 00:14:58,USR000895,Cashfree,UPI,38983.85,REFUNDED,,utility,,False,
PG99833100024254,ORD43012931452,2025-10-18 07:23:03,USR000895,Cashfree,UPI,7461.88,CAPTURED,,ecommerce,,False,
PG35725873324616,ORD64257307960,2025-09-16 16:59:42,USR000895,Razorpay,NB,30701.05,CAPTURED,,investment,,True,
PG35882980956717,ORD76847879804,2025-03-16 23:00:21,USR000895,CCAvenue,UPI,12280.09,CAPTURED,,insurance,,False,
PG73345926559036,ORD39885085373,2025-07-30 12:54:26,USR000895,BillDesk,UPI,1935.96,FAILED,CARD_BLOCKED,fd_booking,,False,
PG33554220743866,ORD92648593123,2025-03-26 01:24:35,USR000216,Paytm-PG,CC,63183.69,CAPTURED,,utility,MC,True,
PG80461782080969,ORD60800408429,2026-04-19 21:41:03,USR000216,Paytm-PG,CC,38371.61,CAPTURED,,fd_booking,RUPAY,False,
PG99487930582941,ORD47771920399,2025-06-23 15:07:00,USR000216,Cashfree,NB,3352.92,CAPTURED,,ecommerce,,False,MND8174144257
PG78172940083029,ORD38690946726,2026-01-17 00:50:54,USR000216,PayU,NB,28936.57,FAILED,CARD_BLOCKED,utility,,True,
PG18846302557566,ORD69399975860,2025-05-16 04:27:33,USR000216,CCAvenue,UPI,10905.79,CAPTURED,,recharge,,False,
PG94445833133446,ORD44307147163,2025-01-07 06:44:12,USR000216,Razorpay,UPI,71350.21,CAPTURED,,insurance,,False,
PG68780685812825,ORD46683596789,2025-05-24 07:40:04,USR000216,BillDesk,UPI,9332.32,CAPTURED,,fd_booking,,False,
PG92531452513712,ORD17236492998,2025-10-05 06:12:36,USR000216,HDFC-PG,UPI,15559.76,CAPTURED,,insurance,,False,
PG91286896238394,ORD14209087212,2025-05-18 05:50:26,USR000216,PayU,UPI,33068.09,FAILED,INSUFFICIENT_BALANCE,fd_booking,,False,
PG30653691539467,ORD69853190265,2025-05-02 05:24:20,USR000216,CCAvenue,UPI,61182.52,CAPTURED,,utility,,False,
PG46436966297501,ORD50555788493,2026-01-03 11:37:54,USR000216,CCAvenue,CC,68616.9,FAILED,FRAUD_FLAG,insurance,AMEX,False,
PG52954566942833,ORD62786938919,2025-12-28 05:24:09,USR000216,CCAvenue,UPI,19945.57,CAPTURED,,ecommerce,,False,
PG55158892555794,ORD92814282056,2026-01-13 08:55:07,USR000760,Razorpay,UPI,45133.56,CAPTURED,,ecommerce,,False,
PG42166636729519,ORD97456082861,2026-04-27 17:49:24,USR000760,BillDesk,CC,11112.43,CAPTURED,,investment,MC,False,
PG53486503734524,ORD14609261004,2025-07-15 18:26:25,USR000760,HDFC-PG,UPI,49786.27,CAPTURED,,ecommerce,,False,
PG42984992351721,ORD76147985042,2026-02-19 22:37:41,USR000228,PayU,UPI,68040.9,CAPTURED,,utility,,False,
PG21004899647521,ORD79631097056,2025-03-06 16:41:35,USR000228,Cashfree,UPI,16983.75,CAPTURED,,utility,,True,
PG70419131362985,ORD54160944911,2025-06-13 05:17:08,USR000228,PayU,UPI,18958.01,CAPTURED,,insurance,,False,
PG66424589048666,ORD68626873750,2025-12-11 05:40:54,USR000680,PayU,DC,3960.16,CAPTURED,,insurance,AMEX,False,
PG98951644076195,ORD53147659184,2025-07-18 09:45:04,USR000680,Paytm-PG,CC,22497.74,CAPTURED,,investment,RUPAY,False,
PG11706563749034,ORD19530708965,2025-01-25 10:12:25,USR000680,Cashfree,DC,10657.33,CAPTURED,,fd_booking,VISA,False,
PG72631303243830,ORD43093827021,2025-03-21 13:44:39,USR000680,CCAvenue,UPI,26844.47,CAPTURED,,utility,,False,
PG38412013345213,ORD83620991156,2025-12-20 08:58:03,USR000680,HDFC-PG,CC,26408.67,CAPTURED,,insurance,AMEX,False,
PG56034559236259,ORD86718074393,2025-04-28 07:24:36,USR000680,HDFC-PG,EMI,22799.49,CAPTURED,,investment,,False,
PG51671210843780,ORD27690827326,2025-10-14 01:05:12,USR000680,HDFC-PG,UPI,22637.48,CAPTURED,,insurance,,True,MND9764160995
PG47004366528607,ORD59653583332,2026-03-08 04:43:37,USR000680,PayU,UPI,29877.46,CAPTURED,,investment,,False,
PG31613851939487,ORD90826577480,2026-01-07 13:01:58,USR000781,HDFC-PG,CC,10207.19,CAPTURED,,recharge,RUPAY,True,
PG13913434717622,ORD74421211762,2025-12-05 15:08:57,USR000781,HDFC-PG,UPI,19270.56,CAPTURED,,ecommerce,,False,
PG13908517337098,ORD61928556892,2025-09-11 20:08:32,USR000781,Razorpay,UPI,16383.12,CAPTURED,,insurance,,False,
PG47922625623482,ORD19120667352,2025-04-05 07:44:12,USR000781,BillDesk,CC,17908.43,CAPTURED,,investment,MC,False,
PG57905754962866,ORD82401569352,2025-01-13 17:25:41,USR000781,PayU,NB,53339.69,CAPTURED,,recharge,,False,
PG69303909796505,ORD23196492994,2026-03-13 20:09:32,USR000781,Paytm-PG,NB,52400.94,CAPTURED,,recharge,,False,
PG42028420346614,ORD55807806864,2025-03-24 21:32:04,USR000781,CCAvenue,DC,41428.94,CAPTURED,,utility,RUPAY,False,
PG36396265134407,ORD83805615216,2025-08-16 12:06:25,USR000781,HDFC-PG,Wallet,56119.49,CAPTURED,,fd_booking,,False,
PG63219342830857,ORD69691732901,2025-05-04 03:25:50,USR000781,PayU,UPI,57276.38,CAPTURED,,ecommerce,,False,
PG65811186628649,ORD45807723186,2025-12-26 01:57:47,USR000781,Cashfree,UPI,28484.29,CAPTURED,,investment,,False,
PG72341152168915,ORD24039189861,2025-05-27 04:27:55,USR000781,CCAvenue,UPI,30848.43,FAILED,ISSUER_DECLINED,recharge,,False,
PG65315906579249,ORD38388076824,2025-03-06 05:01:48,USR000716,HDFC-PG,CC,16013.09,CAPTURED,,fd_booking,VISA,True,
PG33950742480969,ORD41292750258,2025-05-22 12:29:51,USR000716,Cashfree,UPI,60076.03,CAPTURED,,investment,,False,
PG62888236207783,ORD28440241935,2025-12-22 02:25:54,USR000716,Razorpay,UPI,50726.94,CAPTURED,,utility,,False,
PG55244366305016,ORD56536050657,2025-04-20 09:27:35,USR000716,PayU,UPI,69850.6,CAPTURED,,utility,,False,
PG28443159825445,ORD24953101944,2025-10-05 07:58:02,USR000716,BillDesk,UPI,2518.31,CAPTURED,,investment,,False,
PG93061744177514,ORD52324615726,2025-08-18 02:50:27,USR000716,CCAvenue,CC,47644.84,CAPTURED,,investment,VISA,False,
PG72681925495555,ORD73215214540,2026-03-30 12:18:44,USR000716,HDFC-PG,UPI,43407.72,CAPTURED,,investment,,False,
PG29654366217707,ORD33604699726,2025-07-16 15:02:59,USR000716,Paytm-PG,CC,65109.65,AUTHORIZED,INSUFFICIENT_BALANCE,utility,VISA,False,
PG54893226028661,ORD70577232294,2025-01-20 20:52:58,USR000716,Cashfree,Wallet,49584.53,CAPTURED,,insurance,,False,
PG34188654566224,ORD87886729044,2026-04-21 21:43:28,USR000716,BillDesk,UPI,54367.29,CAPTURED,,recharge,,True,
PG52011604650138,ORD41058338934,2025-08-09 14:27:58,USR000716,Razorpay,UPI,69627.61,CAPTURED,,insurance,,False,
PG16459420134577,ORD87028108156,2025-02-19 17:04:17,USR000716,Cashfree,UPI,52782.94,CAPTURED,,ecommerce,,False,
