fd_id,user_id,partner_bank,product_type,principal_inr,tenor_days,interest_rate_pa,compounding,booked_at,maturity_date,maturity_amount,status,auto_renew,nominee_added,tds_applicable,source_channel,language_at_booking
FD164472385,USR000389,RBL,SENIOR_CITIZEN,11800.0,1943,7.38,MONTHLY,2026-01-30 00:00:00,2031-05-27,16435.73,PREMATURE_WITHDRAWN,False,True,False,Direct,hi
FD888568891,USR000805,PUNB,REGULAR_FD,442400.0,52,6.04,QUARTERLY,2026-04-20 00:00:00,2026-06-11,446206.82,PREMATURE_WITHDRAWN,True,True,True,WhatsApp,bn
FD704145398,USR000805,PUNB,SENIOR_CITIZEN,6600.0,54,7.8,AT_MATURITY,2026-03-25 00:00:00,2026-05-18,6676.16,ACTIVE,True,False,False,WhatsApp,bn
FD206806343,USR000663,CANB,CALLABLE,54800.0,23,7.15,AT_MATURITY,2026-02-19 00:00:00,2026-03-14,55046.9,PREMATURE_WITHDRAWN,True,True,True,Meta Ads,hi
FD519493140,USR000470,SBIN,NON_CALLABLE,15200.0,21,6.43,QUARTERLY,2025-11-06 00:00:00,2025-11-27,15256.23,ACTIVE,True,True,False,Referral,gu
FD868068406,USR000312,CANB,REGULAR_FD,36200.0,11,7.86,QUARTERLY,2026-01-02 00:00:00,2026-01-13,36285.75,ACTIVE,True,False,False,Meta Ads,en
FD156751351,USR000542,ICIC,CALLABLE,350400.0,78,8.13,MONTHLY,2025-06-21 00:00:00,2025-09-07,356487.74,MATURED,True,False,True,Referral,hi
FD758493355,USR000694,CANB,REGULAR_FD,61700.0,323,6.66,QUARTERLY,2025-12-30 00:00:00,2026-11-18,65336.38,ACTIVE,False,True,True,WhatsApp,hi
FD305909206,USR000920,KOTK,SENIOR_CITIZEN,56900.0,88,5.74,MONTHLY,2025-05-13 00:00:00,2025-08-09,57687.43,ACTIVE,False,False,True,Referral,hi
FD166668848,USR000737,IDFC,REGULAR_FD,34200.0,116,7.76,QUARTERLY,2025-12-15 00:00:00,2026-04-10,35043.44,ACTIVE,True,True,False,Direct,mr
FD516866273,USR000582,HDFC,REGULAR_FD,84700.0,101,6.37,MONTHLY,2026-02-11 00:00:00,2026-05-23,86192.97,ACTIVE,False,True,True,Influencer-YT,en
FD299425398,USR000786,INDB,CALLABLE,23800.0,10,6.64,MONTHLY,2026-04-14 00:00:00,2026-04-24,23843.3,ACTIVE,True,False,False,Influencer-IG,hi
FD207479538,USR000786,INDB,SWEEP_FD,65200.0,590,6.7,AT_MATURITY,2025-02-15 00:00:00,2026-09-28,72261.25,ACTIVE,False,False,True,Influencer-IG,hi
FD833938520,USR000508,CANB,SWEEP_FD,1083400.0,163,8.09,MONTHLY,2025-08-03 00:00:00,2026-01-13,1122541.02,ACTIVE,True,True,True,Direct,hi
FD704731837,USR000857,BARB,TAX_SAVER_5Y,71300.0,44,7.78,MONTHLY,2025-01-05 00:00:00,2025-02-18,71968.7,ACTIVE,False,True,True,Referral,hi
FD878729077,USR000857,BARB,SENIOR_CITIZEN,6100.0,1259,8.63,QUARTERLY,2025-02-25 00:00:00,2028-08-07,7915.82,PREMATURE_WITHDRAWN,False,True,False,Referral,hi
FD870936212,USR000951,YESB,TAX_SAVER_5Y,7500.0,219,6.41,AT_MATURITY,2025-04-01 00:00:00,2025-11-06,7788.45,ACTIVE,True,True,False,Email,hi
FD649626794,USR000281,KOTK,SWEEP_FD,51500.0,710,8.88,MONTHLY,2025-12-23 00:00:00,2027-12-03,60395.81,ACTIVE,False,False,True,Organic search,mr
FD270572138,USR000290,BARB,SENIOR_CITIZEN,328700.0,68,5.96,AT_MATURITY,2025-04-11 00:00:00,2025-06-18,332349.74,PREMATURE_WITHDRAWN,True,True,True,Influencer-YT,en
FD913642791,USR000837,RBL,TAX_SAVER_5Y,12300.0,79,7.79,MONTHLY,2025-07-07 00:00:00,2025-09-24,12507.38,ACTIVE,True,True,False,Referral,kn
FD358701250,USR000146,IDFC,NON_CALLABLE,12600.0,10,8.2,AT_MATURITY,2025-11-07 00:00:00,2025-11-17,12628.31,ACTIVE,True,False,False,WhatsApp,gu
FD768179727,USR000146,IDFC,CALLABLE,116100.0,2108,7.28,MONTHLY,2026-05-03 00:00:00,2032-02-09,164913.66,ACTIVE,False,True,True,WhatsApp,gu
FD167407470,USR000379,HDFC,SENIOR_CITIZEN,99900.0,164,5.99,QUARTERLY,2026-01-01 00:00:00,2026-06-14,102588.71,ACTIVE,False,True,True,WhatsApp,hi
FD202582749,USR000379,HDFC,REGULAR_FD,96400.0,3281,8.09,MONTHLY,2025-10-13 00:00:00,2034-10-07,166503.37,ACTIVE,False,False,True,WhatsApp,hi
FD263178836,USR000379,HDFC,SENIOR_CITIZEN,436800.0,43,6.86,MONTHLY,2025-06-29 00:00:00,2025-08-11,440330.06,ACTIVE,False,True,True,WhatsApp,hi
FD433128499,USR000354,RBL,TAX_SAVER_5Y,60500.0,10,5.78,QUARTERLY,2025-11-22 00:00:00,2025-12-02,60595.81,ACTIVE,True,True,True,Direct,te
FD392636172,USR000892,CANB,CALLABLE,11300.0,1778,7.55,AT_MATURITY,2026-01-27 00:00:00,2030-12-10,15455.89,ACTIVE,False,True,False,Google Ads,ta
FD925595448,USR000892,CANB,CALLABLE,77800.0,468,8.5,MONTHLY,2025-09-04 00:00:00,2026-12-16,86279.13,ACTIVE,False,True,True,Google Ads,ta
FD409822925,USR000693,SBIN,SENIOR_CITIZEN,21500.0,81,5.62,QUARTERLY,2025-08-18 00:00:00,2025-11-07,21768.14,ACTIVE,False,True,False,Referral,hi
FD251405712,USR000677,KOTK,CALLABLE,19300.0,898,8.93,AT_MATURITY,2025-05-21 00:00:00,2027-11-05,23540.26,CANCELLED,True,True,False,Direct,mr
FD344220573,USR000143,INDB,CALLABLE,414400.0,2969,6.58,AT_MATURITY,2025-05-26 00:00:00,2033-07-12,636200.73,ACTIVE,False,True,True,Organic search,en
FD953050422,USR000143,INDB,CALLABLE,33700.0,473,7.97,AT_MATURITY,2025-06-18 00:00:00,2026-10-04,37180.62,ACTIVE,False,False,False,Organic search,en
FD811053316,USR000143,INDB,TAX_SAVER_5Y,30400.0,24,6.05,MONTHLY,2026-01-12 00:00:00,2026-02-05,30520.93,ACTIVE,True,True,False,Organic search,en
FD470879767,USR000143,INDB,TAX_SAVER_5Y,21100.0,1704,7.73,QUARTERLY,2025-01-24 00:00:00,2029-09-24,28714.45,CANCELLED,True,False,False,Organic search,en
FD525754088,USR000226,SBIN,CALLABLE,22100.0,26,8.06,MONTHLY,2025-11-24 00:00:00,2025-12-20,22226.88,ACTIVE,True,True,False,Organic search,en
FD412804740,USR000284,IDFC,TAX_SAVER_5Y,6600.0,48,6.95,MONTHLY,2026-03-25 00:00:00,2026-05-12,6660.32,ACTIVE,False,True,False,Google Ads,en
FD441269064,USR000177,IDFC,NON_CALLABLE,57200.0,22,6.85,AT_MATURITY,2026-02-08 00:00:00,2026-03-02,57436.17,MATURED,False,False,True,Organic search,en
FD165133834,USR000177,IDFC,CALLABLE,7800.0,7,5.84,MONTHLY,2025-09-12 00:00:00,2025-09-19,7808.74,ACTIVE,True,False,False,Organic search,en
FD769099262,USR000765,RBL,TAX_SAVER_5Y,19300.0,179,6.63,MONTHLY,2026-02-10 00:00:00,2026-08-08,19927.52,ACTIVE,True,True,False,Organic search,en
FD369290117,USR000113,PUNB,NON_CALLABLE,15400.0,142,6.23,MONTHLY,2026-03-24 00:00:00,2026-08-13,15773.25,ACTIVE,True,True,False,Influencer-YT,en
FD633758562,USR000093,HDFC,REGULAR_FD,92300.0,16,7.13,AT_MATURITY,2026-04-18 00:00:00,2026-05-04,92588.48,ACTIVE,False,True,True,Organic search,hi
FD559456096,USR000093,HDFC,NON_CALLABLE,21500.0,2696,8.39,QUARTERLY,2025-10-06 00:00:00,2033-02-22,34823.78,ACTIVE,True,True,False,Organic search,hi
FD243497301,USR000412,RBL,TAX_SAVER_5Y,42600.0,14,7.5,QUARTERLY,2025-12-16 00:00:00,2025-12-30,42722.55,ACTIVE,False,True,True,Meta Ads,mr
FD507300569,USR000495,YESB,TAX_SAVER_5Y,39900.0,638,7.44,QUARTERLY,2026-03-20 00:00:00,2027-12-18,45088.88,ACTIVE,False,True,False,Influencer-IG,ta
FD184234876,USR000525,HDFC,TAX_SAVER_5Y,18900.0,85,5.73,AT_MATURITY,2025-03-27 00:00:00,2025-06-20,19152.2,ACTIVE,True,True,False,Organic search,mr
FD679673583,USR000525,HDFC,NON_CALLABLE,27800.0,85,5.97,AT_MATURITY,2025-02-17 00:00:00,2025-05-13,28186.5,ACTIVE,False,False,False,Organic search,mr
FD847693637,USR000525,HDFC,NON_CALLABLE,51500.0,3263,7.09,QUARTERLY,2026-03-08 00:00:00,2035-02-12,84142.07,CANCELLED,True,True,True,Organic search,mr
FD577939809,USR000237,IDFC,SENIOR_CITIZEN,47300.0,713,7.11,MONTHLY,2025-12-31 00:00:00,2027-12-14,53869.43,ACTIVE,True,True,True,Direct,hi
FD768460366,USR000518,SBIN,REGULAR_FD,91900.0,255,8.25,MONTHLY,2025-11-21 00:00:00,2026-08-03,97196.84,ACTIVE,False,True,True,Organic search,ml
FD182148574,USR000116,ICIC,CALLABLE,5200.0,461,7.86,MONTHLY,2025-11-03 00:00:00,2027-02-07,5716.22,PREMATURE_WITHDRAWN,False,False,False,Influencer-YT,en
FD345775761,USR000295,INDB,REGULAR_FD,118100.0,173,6.38,MONTHLY,2025-06-26 00:00:00,2025-12-16,121671.28,ACTIVE,True,True,True,Meta Ads,ta
FD691742187,USR000035,YESB,CALLABLE,204400.0,278,7.84,MONTHLY,2025-03-29 00:00:00,2026-01-01,216605.31,ACTIVE,True,True,True,Referral,gu
FD281966012,USR000035,YESB,SENIOR_CITIZEN,355200.0,806,6.08,QUARTERLY,2026-01-23 00:00:00,2028-04-08,402889.05,ACTIVE,True,True,True,Referral,gu
FD957826636,USR000035,YESB,CALLABLE,39900.0,1660,7.42,AT_MATURITY,2025-09-27 00:00:00,2030-04-14,53364.56,PREMATURE_WITHDRAWN,True,True,False,Referral,gu
FD314391162,USR000035,YESB,NON_CALLABLE,343400.0,88,7.22,AT_MATURITY,2026-01-07 00:00:00,2026-04-05,349377.61,ACTIVE,True,True,True,Referral,gu
FD468848789,USR000536,INDB,SENIOR_CITIZEN,64400.0,1296,7.83,AT_MATURITY,2025-05-05 00:00:00,2028-11-21,82304.4,ACTIVE,True,False,True,WhatsApp,en
FD548406348,USR000856,CANB,TAX_SAVER_5Y,392200.0,1332,8.11,MONTHLY,2025-04-26 00:00:00,2028-12-18,508275.3,ACTIVE,False,True,True,Influencer-IG,hi
FD508288027,USR000856,CANB,TAX_SAVER_5Y,52300.0,1470,7.02,MONTHLY,2025-02-12 00:00:00,2029-02-21,67086.43,ACTIVE,True,False,True,Influencer-IG,hi
FD496574156,USR000688,IDFC,SWEEP_FD,94000.0,3584,7.06,QUARTERLY,2025-03-11 00:00:00,2035-01-02,159163.99,ACTIVE,False,True,True,Direct,ml
FD564978371,USR000136,INDB,REGULAR_FD,21300.0,300,5.87,MONTHLY,2026-03-29 00:00:00,2027-01-23,22327.65,ACTIVE,False,True,False,Google Ads,en
FD594531296,USR000136,INDB,CALLABLE,92500.0,52,8.03,QUARTERLY,2025-12-16 00:00:00,2026-02-06,93558.2,ACTIVE,True,True,True,Google Ads,en
FD410239758,USR000136,INDB,TAX_SAVER_5Y,236700.0,13,7.48,QUARTERLY,2026-01-17 00:00:00,2026-01-30,237330.59,MATURED,True,True,True,Google Ads,en
FD418994008,USR000384,BARB,SWEEP_FD,48700.0,1789,6.66,MONTHLY,2026-02-09 00:00:00,2031-01-03,64597.2,PREMATURE_WITHDRAWN,True,True,True,Influencer-IG,kn
FD313637057,USR000445,PUNB,SWEEP_FD,19800.0,13,7.54,AT_MATURITY,2026-04-16 00:00:00,2026-04-29,19853.17,ACTIVE,False,False,False,Direct,hi
FD124599886,USR000445,PUNB,NON_CALLABLE,64200.0,3511,6.83,QUARTERLY,2025-07-26 00:00:00,2035-03-07,106378.75,ACTIVE,False,True,True,Direct,hi
FD213799545,USR000445,PUNB,REGULAR_FD,66600.0,2256,8.93,QUARTERLY,2025-08-16 00:00:00,2031-10-20,103359.7,MATURED,True,False,True,Direct,hi
FD207731777,USR000142,INDB,SENIOR_CITIZEN,57900.0,23,6.38,AT_MATURITY,2025-09-21 00:00:00,2025-10-14,58132.77,MATURED,True,True,True,Google Ads,hi
FD478463561,USR000545,SBIN,SENIOR_CITIZEN,28900.0,247,8.46,AT_MATURITY,2025-06-24 00:00:00,2026-02-26,30554.52,ACTIVE,False,True,False,Referral,hi
FD151273174,USR000702,YESB,TAX_SAVER_5Y,1477600.0,27,6.56,MONTHLY,2026-03-22 00:00:00,2026-04-18,1484770.21,ACTIVE,True,True,True,Meta Ads,gu
FD525646116,USR000702,YESB,CALLABLE,20100.0,2679,7.52,AT_MATURITY,2025-01-01 00:00:00,2032-05-03,31194.14,ACTIVE,True,False,False,Meta Ads,gu
FD287645752,USR000129,BARB,TAX_SAVER_5Y,87600.0,632,7.85,QUARTERLY,2025-08-20 00:00:00,2027-05-14,99506.88,CANCELLED,True,True,True,Influencer-YT,hi
FD342272250,USR000009,INDB,CALLABLE,47400.0,61,5.83,AT_MATURITY,2025-06-19 00:00:00,2025-08-19,47861.83,ACTIVE,False,True,True,Influencer-YT,en
FD746127493,USR000676,PUNB,REGULAR_FD,24200.0,2438,7.4,QUARTERLY,2025-11-10 00:00:00,2032-07-14,36161.56,ACTIVE,True,True,False,Direct,en
FD430044077,USR000668,BARB,SENIOR_CITIZEN,1013400.0,59,6.39,AT_MATURITY,2025-08-18 00:00:00,2025-10-16,1023867.45,ACTIVE,True,True,True,Google Ads,hi
FD528854371,USR000668,BARB,TAX_SAVER_5Y,83100.0,1537,7.13,AT_MATURITY,2025-05-04 00:00:00,2029-07-19,108050.06,ACTIVE,True,True,True,Google Ads,hi
FD287068443,USR000368,YESB,REGULAR_FD,32600.0,56,8.19,QUARTERLY,2025-02-01 00:00:00,2025-03-29,33009.63,CANCELLED,True,True,False,Influencer-IG,en
FD764870608,USR000287,IDFC,SWEEP_FD,13100.0,720,9.13,AT_MATURITY,2026-04-29 00:00:00,2028-04-18,15459.29,ACTIVE,True,True,False,WhatsApp,mr
FD484838012,USR000318,YESB,TAX_SAVER_5Y,13200.0,187,6.82,QUARTERLY,2025-09-04 00:00:00,2026-03-10,13661.22,ACTIVE,True,False,False,Influencer-YT,hi
FD462582835,USR000318,YESB,SWEEP_FD,125700.0,204,6.77,QUARTERLY,2025-04-29 00:00:00,2025-11-19,130456.21,ACTIVE,True,True,True,Influencer-YT,hi
FD201756529,USR000120,SBIN,CALLABLE,11400.0,1240,8.38,MONTHLY,2025-01-11 00:00:00,2028-06-04,14645.47,ACTIVE,False,True,False,Influencer-IG,hi
FD255491401,USR000120,SBIN,SWEEP_FD,271700.0,27,8.29,QUARTERLY,2025-03-22 00:00:00,2025-04-18,273366.15,ACTIVE,True,True,True,Influencer-IG,hi
FD469020068,USR000896,SBIN,REGULAR_FD,23300.0,1006,8.61,QUARTERLY,2026-04-28 00:00:00,2029-01-28,28829.22,ACTIVE,True,True,False,Meta Ads,hi
FD637657069,USR000896,SBIN,SENIOR_CITIZEN,256700.0,2428,6.07,AT_MATURITY,2026-04-10 00:00:00,2032-12-02,360350.26,ACTIVE,False,True,True,Meta Ads,hi
FD491862715,USR000778,BARB,TAX_SAVER_5Y,95100.0,13,7.79,QUARTERLY,2025-06-08 00:00:00,2025-06-21,95363.86,ACTIVE,True,False,True,Google Ads,en
FD251806829,USR000919,SBIN,TAX_SAVER_5Y,71100.0,1886,7.91,MONTHLY,2025-01-06 00:00:00,2030-03-07,100159.95,MATURED,False,False,True,Direct,hi
FD646410363,USR000681,RBL,TAX_SAVER_5Y,11700.0,634,8.21,MONTHLY,2025-08-09 00:00:00,2027-05-05,13368.5,ACTIVE,True,True,False,Email,hi
FD150091117,USR000681,RBL,NON_CALLABLE,29900.0,2950,6.56,QUARTERLY,2025-02-25 00:00:00,2033-03-25,45752.73,PREMATURE_WITHDRAWN,False,True,False,Email,hi
FD885603596,USR000681,RBL,REGULAR_FD,6500.0,666,7.71,AT_MATURITY,2025-06-19 00:00:00,2027-04-16,7414.43,ACTIVE,False,True,False,Email,hi
FD396549884,USR000006,SBIN,SENIOR_CITIZEN,1832400.0,16,6.85,MONTHLY,2025-02-25 00:00:00,2025-03-13,1837902.22,MATURED,False,True,True,Organic search,en
FD851693404,USR000540,AXIS,SENIOR_CITIZEN,97900.0,32,7.2,AT_MATURITY,2026-01-15 00:00:00,2026-02-16,98517.98,ACTIVE,True,True,True,Organic search,hi
FD616686937,USR000763,CANB,NON_CALLABLE,12700.0,15,7.5,AT_MATURITY,2025-01-09 00:00:00,2025-01-24,12739.14,MATURED,False,True,False,Meta Ads,hi
FD158405524,USR000749,INDB,TAX_SAVER_5Y,177000.0,661,8.5,AT_MATURITY,2025-08-19 00:00:00,2027-06-11,204245.88,ACTIVE,True,True,True,Meta Ads,hi
FD636160616,USR000749,INDB,CALLABLE,14500.0,2298,8.68,MONTHLY,2025-05-25 00:00:00,2031-09-09,22424.01,ACTIVE,True,True,False,Meta Ads,hi
FD750482953,USR000967,KOTK,SENIOR_CITIZEN,16300.0,104,7.25,QUARTERLY,2025-11-16 00:00:00,2026-02-28,16636.72,ACTIVE,True,False,False,Email,en
FD302651379,USR000467,PUNB,TAX_SAVER_5Y,44500.0,172,8.17,QUARTERLY,2025-06-02 00:00:00,2025-11-21,46213.24,MATURED,True,True,True,Influencer-IG,te
FD709448833,USR000467,PUNB,TAX_SAVER_5Y,1185600.0,29,6.6,QUARTERLY,2025-12-01 00:00:00,2025-12-30,1191817.09,MATURED,True,True,True,Influencer-IG,te
FD617374198,USR000148,CANB,NON_CALLABLE,18300.0,39,6.07,MONTHLY,2025-03-28 00:00:00,2025-05-06,18418.69,ACTIVE,True,False,False,Organic search,en
FD646183078,USR000148,CANB,REGULAR_FD,14100.0,1035,6.88,QUARTERLY,2025-01-29 00:00:00,2027-11-30,16850.77,MATURED,True,True,False,Organic search,en
FD800885512,USR000840,BARB,SENIOR_CITIZEN,9900.0,140,8.32,MONTHLY,2025-05-23 00:00:00,2025-10-10,10215.93,ACTIVE,True,True,False,Referral,hi
FD812525906,USR000905,HDFC,REGULAR_FD,378000.0,21,7.6,QUARTERLY,2025-05-25 00:00:00,2025-06-15,379652.84,ACTIVE,True,True,True,Organic search,hi
FD574815741,USR000890,SBIN,CALLABLE,25000.0,50,8.12,QUARTERLY,2025-02-27 00:00:00,2025-04-18,25278.08,MATURED,True,False,False,Influencer-YT,hi
FD771745362,USR000797,AXIS,REGULAR_FD,21300.0,18,7.85,AT_MATURITY,2025-04-23 00:00:00,2025-05-11,21382.46,ACTIVE,True,True,False,Influencer-YT,en
FD719754282,USR000797,AXIS,TAX_SAVER_5Y,15300.0,2568,8.1,MONTHLY,2025-10-10 00:00:00,2032-10-21,24019.24,ACTIVE,True,True,False,Influencer-YT,en
FD818624808,USR000278,INDB,SENIOR_CITIZEN,5300.0,2043,8.39,MONTHLY,2025-11-16 00:00:00,2031-06-21,7788.93,ACTIVE,True,False,False,Direct,ta
FD318298400,USR000514,HDFC,SENIOR_CITIZEN,214600.0,129,7.66,QUARTERLY,2025-03-08 00:00:00,2025-07-15,220409.72,ACTIVE,False,False,True,Google Ads,en
FD418163844,USR000913,AXIS,SENIOR_CITIZEN,12300.0,328,7.98,MONTHLY,2026-03-12 00:00:00,2027-02-03,13182.04,ACTIVE,False,False,False,Email,ta
FD299970172,USR000126,YESB,CALLABLE,54900.0,34,8.33,AT_MATURITY,2026-01-01 00:00:00,2026-02-04,55325.99,ACTIVE,False,True,True,Email,mr
FD994738659,USR000276,SBIN,SWEEP_FD,191300.0,11,6.0,MONTHLY,2025-04-18 00:00:00,2025-04-29,191645.91,ACTIVE,True,True,True,WhatsApp,hi
FD802828137,USR000276,SBIN,TAX_SAVER_5Y,9600.0,431,6.87,MONTHLY,2025-02-24 00:00:00,2026-05-01,10378.78,CANCELLED,True,True,False,WhatsApp,hi
FD395175258,USR000696,AXIS,SWEEP_FD,59100.0,688,7.54,AT_MATURITY,2025-02-10 00:00:00,2026-12-30,67499.52,ACTIVE,True,True,True,Referral,bn
FD276662414,USR000696,AXIS,CALLABLE,84900.0,1933,8.06,QUARTERLY,2026-02-22 00:00:00,2031-06-09,121139.46,ACTIVE,True,True,True,Referral,bn
FD468932985,USR000125,YESB,TAX_SAVER_5Y,130800.0,61,8.41,QUARTERLY,2025-11-17 00:00:00,2026-01-17,132638.4,PREMATURE_WITHDRAWN,True,False,True,Direct,en
FD739680000,USR000125,YESB,CALLABLE,24700.0,157,7.38,QUARTERLY,2026-02-04 00:00:00,2026-07-11,25484.08,MATURED,False,False,False,Direct,en
FD699311441,USR000962,CANB,CALLABLE,16800.0,1061,6.14,MONTHLY,2025-11-29 00:00:00,2028-10-25,19798.47,MATURED,True,True,False,WhatsApp,en
FD383052067,USR000326,PUNB,SENIOR_CITIZEN,74500.0,12,7.82,QUARTERLY,2025-07-13 00:00:00,2025-07-25,74691.54,PREMATURE_WITHDRAWN,False,True,True,Referral,hi
FD242071383,USR000175,BARB,SENIOR_CITIZEN,555700.0,32,5.79,MONTHLY,2025-01-30 00:00:00,2025-03-03,558520.82,ACTIVE,False,True,True,Referral,mr
FD970252050,USR000175,BARB,REGULAR_FD,39200.0,2114,6.91,MONTHLY,2025-11-11 00:00:00,2031-08-26,54888.31,ACTIVE,False,True,False,Referral,mr
FD908046188,USR000175,BARB,SWEEP_FD,19200.0,7,6.93,MONTHLY,2025-09-05 00:00:00,2025-09-12,19225.52,ACTIVE,False,True,False,Referral,mr
FD919201684,USR000720,IDFC,TAX_SAVER_5Y,63300.0,1084,6.98,AT_MATURITY,2026-01-22 00:00:00,2029-01-10,76421.86,PREMATURE_WITHDRAWN,False,True,True,Referral,hi
FD571268616,USR000680,AXIS,NON_CALLABLE,12600.0,1140,8.24,MONTHLY,2025-11-15 00:00:00,2028-12-29,15842.72,MATURED,False,False,False,Email,hi
FD650682415,USR000978,SBIN,TAX_SAVER_5Y,71700.0,169,7.03,AT_MATURITY,2025-11-15 00:00:00,2026-05-03,74033.83,ACTIVE,False,True,True,Email,en
FD456092094,USR000532,IDFC,CALLABLE,18200.0,299,7.58,MONTHLY,2025-04-10 00:00:00,2026-02-03,19330.11,ACTIVE,False,True,False,WhatsApp,en
FD242759951,USR000225,PUNB,CALLABLE,47200.0,15,7.65,QUARTERLY,2025-01-27 00:00:00,2025-02-11,47348.39,ACTIVE,False,True,True,Google Ads,hi
FD423965844,USR000481,PUNB,TAX_SAVER_5Y,22800.0,3296,8.21,MONTHLY,2025-11-26 00:00:00,2034-12-05,39703.33,MATURED,False,True,False,Email,hi
FD372874702,USR000756,CANB,REGULAR_FD,66700.0,1323,8.9,MONTHLY,2025-08-12 00:00:00,2029-03-27,88217.05,ACTIVE,True,True,True,Meta Ads,hi
FD678503896,USR000524,INDB,REGULAR_FD,42500.0,596,7.51,AT_MATURITY,2026-05-05 00:00:00,2027-12-22,47711.73,ACTIVE,True,True,True,Meta Ads,hi
FD786181984,USR000549,IDFC,CALLABLE,13500.0,2530,7.81,MONTHLY,2025-02-24 00:00:00,2032-01-29,20808.23,ACTIVE,False,True,False,Influencer-YT,en
FD223002926,USR000549,IDFC,SENIOR_CITIZEN,70200.0,22,7.8,AT_MATURITY,2026-02-28 00:00:00,2026-03-22,70530.04,PREMATURE_WITHDRAWN,True,True,True,Influencer-YT,en
FD905824120,USR000579,AXIS,SENIOR_CITIZEN,333400.0,1677,7.99,AT_MATURITY,2025-12-19 00:00:00,2030-07-23,455791.87,MATURED,False,True,True,Email,ta
FD266666248,USR000906,AXIS,SWEEP_FD,398200.0,59,6.61,QUARTERLY,2026-04-15 00:00:00,2026-06-13,402454.63,ACTIVE,True,False,True,Direct,hi
FD391185150,USR000876,KOTK,REGULAR_FD,11500.0,413,7.0,MONTHLY,2025-07-27 00:00:00,2026-09-13,12410.86,PREMATURE_WITHDRAWN,True,True,False,Organic search,en
FD357766399,USR000876,KOTK,NON_CALLABLE,1301300.0,2171,8.78,QUARTERLY,2025-02-16 00:00:00,2031-01-27,1980877.36,ACTIVE,True,True,True,Organic search,en
FD628580051,USR000642,AXIS,TAX_SAVER_5Y,45200.0,1742,6.04,QUARTERLY,2025-05-23 00:00:00,2030-02-28,58229.59,ACTIVE,False,True,True,Google Ads,en
FD965521006,USR000522,AXIS,TAX_SAVER_5Y,41200.0,1724,7.16,QUARTERLY,2025-04-21 00:00:00,2030-01-09,55133.32,ACTIVE,True,True,True,Organic search,en
FD725996433,USR000522,AXIS,CALLABLE,1375700.0,955,7.72,AT_MATURITY,2025-04-24 00:00:00,2027-12-05,1653576.32,PREMATURE_WITHDRAWN,True,True,True,Organic search,en
FD394032285,USR000522,AXIS,SENIOR_CITIZEN,19000.0,18,5.75,QUARTERLY,2025-03-08 00:00:00,2025-03-26,19053.88,MATURED,True,True,False,Organic search,en
FD714174237,USR000522,AXIS,NON_CALLABLE,24700.0,8,6.97,MONTHLY,2025-12-13 00:00:00,2025-12-21,24737.73,ACTIVE,True,False,False,Organic search,en
FD363855350,USR000060,BARB,SENIOR_CITIZEN,16000.0,131,8.45,QUARTERLY,2025-09-08 00:00:00,2026-01-17,16485.24,ACTIVE,True,True,False,Referral,hi
FD578104698,USR000060,BARB,SENIOR_CITIZEN,34000.0,8,7.18,MONTHLY,2026-02-28 00:00:00,2026-03-08,34053.51,ACTIVE,False,True,False,Referral,hi
FD900757458,USR000667,YESB,SENIOR_CITIZEN,82900.0,223,8.26,QUARTERLY,2026-04-01 00:00:00,2026-11-10,87083.57,ACTIVE,False,True,True,Influencer-YT,ta
